Directorio	Secuencia_p	Orden	Hogar	Regis	Area	P6440	P6450	P6460	P6460s1	P6400	P6422	P6424s2	P6424s3	P6424s1	P6426	P6430s1	P6480	P6480s1	P6500	P6510	P6510s1	P6510s2	P6590	P6590s1	P6600	P6600s1	P6610	P6610s1	P6620	P6620s1	P6585s2a1	P6585s3a1	P6585s4a1	P6585s3a2	P6585s2a2	P6585s1a2	P6585s2	P6585s3	P6585s1a1	P6585s4	P6585s1	P6580	P6580s1	P6580s2	P6630s3	P6630s4a1	P6630s3a1	P6630s2a1	P6630s1a1	P6630s4	P6630s2	P6630s1	P6640	P6765	P6765s1	P6772	P6750	P6760	P550	P6780	P6780s1	P6790	P6410	P6640s1	P9440	P6630s6	P6630s6a1	P6410s1	P6545s1	P6545	P6545s2	P6585s4a2	P6773s1	P6775	P6772s1	P388	P6800	P6810	P6810s1	P6850	P6830	P6830s1	P6870	P6880	P6880s1	P6920	P6930	P6940	P6960	P6980	P6980s1	P6980s2	P6980s3	P6980s4	P6980s5	P6980s6	P6980s7	P6980s8	P6980s7a1	P6990	P7020	P7026	P7028	P7028s1	P7040	P7045	P7050	P7050s1	P7070	P760	P9450	P6915s1	P6915	P7075	P7077	P390	P7090	P7100	P7110	P7120	P7130	P7140	P7140s1	P7140s2	P7140s3	P7140s4	P7140s5	P7140s6	P7140s7	P7140s8	P7140s9	P7140s9a1	P7150	P7160	P7170s1	P7170s5	P7170s6	P7180	P7240	P7240s1	P514	P515	Oficio	Rama2d	Oci	P6430	Rama4d	Rama4dp8	Rama2dp8	Inglabo	Mes	Dpto	Fex_c_2011
3909566	1	2	1	60	50	2									24																																							7		1	800000	1		3		12											2015	2	1	50	60		.	60			2	7		2				1								1		2	1	24	5		2					6	2		3				2				2														1	1	1	2	3		1	1	41	52	1	5	5211			800000	01	50	201.75623455298
3909566	1	3	1	60	50	2									24																																							6			700000	1		3		12												3		50	27	2		27			1	5		2				1								1		2	2				2						2		3				2				2														1	1	1	2	3		1	1	17	92	1	4	9214			700000	01	50	201.75623455298
3909566	1	4	1	60	50	1	1			1	1	2	2	2	2		1		500000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	54		.	54			2	7		2				1								1		2	1	12	6		2					0	2		3				2				1	1	1	1	1	1	2	2	2	2	2		2	1	1	1	1	2	3		1	1	45	52	1	1	5211			500000	01	50	201.75623455298
3909567	1	1	1	60	50	1	2	1		1	1	1	1	1	10		2		700000	2			2		2		2		2		62000	25000		2	1		1	1		2	2	2			2				350000	2	2	1	2		.						.	10			2	2				2						50	84		.	84			9	4		1	1	1	13	1								1		1	1	10	1		2					3	1		1				2				2														1	1	1	2	9		1	1	98	60	1	1	6042			700000	01	50	272.407436178729
3909568	1	1	1	60	50	2									240																																							6			500000	1		3		12												3		50	48		.	36	6		1	2		2				1								1		2	1	36	1		2					0	2		3				2				2														1	1	1	2	3		1	1	54	74	1	4	7493			500000	01	50	148.303161827378
3909568	1	2	1	60	50	2									60																																							6			700000	1		3		12												3		50	63		.	54	6		1	2		2				1								1		2	1	72	1		2					3	2		2				2				2														1	1	1	2	3		1	1	54	74	1	4	7493			700000	01	50	148.303161827378
3909568	1	4	1	60	50	1	2	1		1	1	1	1	2	12		3		3000000	1	500000	1	1	300000	1	300000	2		2								2	2		2	2	2			2				1000000	2	2	1	1									12		14	1	2				2						50	60		.	60			4	7		1	1	1	6	1								1		1	1	36	1		2					4	1		1				2				2														1	1	1	2	3		1	1	39	74	1	1	7421			3600000	01	50	148.303161827378
3909568	1	5	1	60	50	1	1			1	1	1	1	1	4		3		900000	2			2		2		2		2								2	2		2	2	2			2				150000	2	2	1	1									12		8	1	2				2						50	40		.	40			4	7		1	1	1	0	1								1		1	1	10	1		2					0	2		1				2				2														1	1	1	2	3		1	1	53	55	1	1	5529			900000	01	50	148.303161827378
3909569	1	1	1	60	50	2									84																																							6			520000	1		3		12												3		50	35	1		21	6		1	2		2				1								1		2	1	8	1		2					3	2		1				1	48	2	2	1	1	1	1	2	1	1	2	2	2	2		1	1	1	2	2	2	8		2	1	54	74	1	4	7493			520000	01	50	199.565899957503
3909570	1	2	1	60	50	1	1			1	1	1	2	1	4		1		644350	2			2		2		2		2		62000				1		1	2		2	2	2			2				200000	2	2	1	2		.						.	12			2	2				2						50	60		.	60			5	5		2				1								1		2	1	18	1		2					0	2		2				2				2														1	1	1	2	8		1	1	37	52	1	1	5241			644350	01	50	164.35251199454
3909570	1	3	1	60	50	1	1			1	1	1	1	1	2		1		644350	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	8			2	2				2						50	49		.	49			2	7		2				1								1		1	1	6	1		2					0	1		1				2				2														1	2	2	2	3		2	1	32	91	1	1	9111			644350	01	50	164.35251199454
3909570	1	4	1	60	50	1	1			1	1	1	1	1	5		1		400000	2			2		2		2		2								2	2		2	2	2			2				200000	2	2	1	2		.						.	12			2	2				2						50	53		.	53			5	7		2				1								1		2	1	36	1		2					0	2		2				2				1	1	1	1	1	1	1	2	2	2	2		2	1	1	1	1	2	8		1	1	89	52	1	1	5241			400000	01	50	164.35251199454
3909570	1	7	1	60	50	1	1			1	2	2	2	2	2		1		644350	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	63		.	63			2	7		2				1								1		2	1	18	1		2					0	2		6				2				1	1	1	1	1	2	2	2	1	1	2		1	1	2	2	2	2	8		2	1	87	50	1	1	5020			644350	01	50	164.35251199454
3909570	1	8	1	60	50	1	2	1		1	2	2	2	1	20		2		80000	2			1	300000	1	50000	2		2								2	2		2	2	2			2				50000	2	2	1	2		.						.	12			2	2				2						50	84		.	84			9	7		1	3	3	2	1								1		2	1	3	1		2					0	2		1				2				2														1	2	2	2	2		2	2	58	75	1	2	7522			430000	01	50	164.35251199454
3909571	1	1	1	60	50	2									228																																							6			100000	1		3		12												3		50	42		.	42			1	6		2				1								1		2	1	244	5		2					8	2		2				2				2														1	1	1	2	5		2	1	97	63	1	4	6310			100000	01	50	146.825906801346
3909571	1	2	1	60	50	1	1			1	1	2	2	2	4		1		644350	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	9			2	2				2						50	70		.	70			2	7		2				1								1		2	1	2	1		2					3	2		2				2				1	1	1	1	1	2	2	2	2	2	2		1	1	2	2	2	2	10	CUOTAS ALIMENTARIAS	1	2	45	52	1	1	5234			644350	01	50	146.825906801346
3909571	1	7	1	60	50	1	2	1		1	1	1	1	1	8		2		644350	2			2		2		2		2								2	2		2	2	2			2				644350	2	2	1	2		.						.	12			2	2				2						50	48		.	0	1		8	4		1	1	1	4	1								1		1	1	60	1		2					0	1		1				2				2														1	1	1	1	3		1	1	98	01	1	1	0115			644350	01	50	146.825906801346
3909573	1	1	1	60	50	2									96																																							6			300000	1		3		12												3		50	35	2		0	3		2	2		2				1								1		2	1	36	1		2					0	2		2				2				2														1	1	1	2	8		1	1	62	01	1	4	0140			300000	01	50	174.253607450822
3909573	1	2	1	60	50	2									96																																							6			300000	1		3		12												3		50	35	2		0	3		2	2		2				1								1		2	1	36	3		2					0	2		2				2				2														1	1	1	2	3		1	1	62	01	1	4	0140			300000	01	50	174.253607450822
3909573	1	5	1	60	50	1	1			1	1	2	2	2	0		1		80000	2			1	100000	1	20000	2		2								2	2		2	2	2			2					2	2	2	2		.						.	2			2	2				2						50	60		.	60			2	2		2				1								1		2	1	1	1		2					2	2		3				2				1	1	1	1	1	1	2	2	2	2	2		2	1	2	2	2	2	3		2	2	53	01	1	1	0118			200000	01	50	174.253607450822
3909573	1	11	1	60	50	1	1			1	1	2	2	2	0		1		160000	2			1	120000	1	50000	2		2								2	2		2	2	2			2					2	2	2	2		.						.	2			2	2				2						50	80		.	80			2	8		2				1								1		2	1	1	1		2					0	2		2				2				2														1	1	1	2	3		1	2	53	01	1	1	0118			330000	01	50	174.253607450822
3909574	1	1	1	60	50	1	1			1	2	2	2	2	1		1		650000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	52		.	43	2		3	9		2				1								1		2	1	7	1		2					0	2		10				2				1	1	1	1	1	1	2	2	1	1	2		1	1	2	2	2	2	5		2	1	95	45	1	1	4521			650000	01	50	261.056188016562
3909574	1	4	1	60	50	2									3																																							6			350000	1		3		3												3		50	30	2		22	2		1	2		2				1								1		2	2				2						2		2				2				2														1	1	1	2	3		2	1	55	74	1	4	7493			350000	01	50	261.056188016562
3909574	1	5	1	60	50	1	1			1	2	2	2	2	1		1		650000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	10			2	2				2						50	50		.	50			2	9		2				1								1		2	1	3	4		2					1	2		2				2				1	1	1	1	1	1	2	1	1	1	2		1	1	2	2	1	2	8		2	1	95	45	1	1	4521			650000	01	50	261.056188016562
3909575	1	1	1	60	50	1	2	1		1	1	2	1	2	36		2		1000000	2			2		2		2		2		74000	50400		2	2	2	1	1	120000	2	1	2			2				1000000	2	2	1	2		.						.	12			2	2				2						50	50		.	50			9	4		1	1	1	3	1			1							1	1	15	4		2					0	1		1				2				2														1	1	1	2	2		1	1	98	51	1	1	5125			1000000	01	50	276.433448455686
3909576	1	1	1	60	50	2									96																																							6			750000	1		3		12												3		50	50		.	36	6		1	7		2				1								1		2	1	8	3		2					3	2		2				2				1	1	1	1	1	2	1	2	1	1	2		1	1	1	2	1	2	5		2	1	93	52	1	4	5272			750000	01	50	146.901810551109
3909576	1	2	1	60	50	1	1			1	1	2	2	2	1		1		720000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	52		.	52			2	9		2				1								1		2	1	24	4		2					0	2		2				2				2														1	2	1	2	3		1	1	95	45	1	1	4521			720000	01	50	146.901810551109
3909577	1	1	1	60	50	1	2	1		1	1	2	1	2	12		2		1350000	2			2		2		2		2		250000				2		1	2		2	2	2			2				1300000	2	2	1	2		.						.	12			1	2				2						50	48		.	40	2		9	7		1	1	1	7	1			1							1	1	7	1		2					3	2		1				2				2														1	1	1	2	2		1	1	44	85	1	1	8511			1350000	01	50	183.244606512818
3909578	1	1	1	60	50	2									8																																							6			380000	1		3		12												3		50	40		.	24	6		1	2		2				1								1		2	1	9	3		2					0	2		10				2				2														1	1	1	2	3		1	1	54	74	1	4	7493			380000	01	50	202.286101074967
3909579	1	1	1	60	50	2									120																																							7		1	4000000	1		3		12											2015	2	1	50	35	2		0	3		4	7		1	2	2	2	1	1									2	1	12	1		2					0	2		1				2				1	1	1	1	2	2	2	2	1	2	2		2	1	1	1	1	2	2		1	1	21	15	1	5	1551			4000000	01	50	265.29373939001
3909579	1	2	1	60	50	2									240																																								.						.	12														50	109		.	0	3		4	7		2				1			1							2	2				2						2		3				2				2														1	1	1	2	3		1	1	53	55	1	6	5522				01	50	265.29373939001
3909579	1	3	1	60	50	2									36																																								.						.	12														50	28	2		28			4	7		2				1								1		2	2				2						2		3				2				2														1	1	1	2	3		1	1	33	55	1	6	5522				01	50	265.29373939001
3909583	1	1	1	60	50	1	2	1		1	2	2	1	2	36		1		800000	2			2		2		2		2								2	2		2	2	2			2				800000	2	2	1	2		.						.	12			2	2				2						50	70		.	70			9	4		1	1	1	7	1			1							1	1	300	8		2					0	2		1				2				2														1	1	1	2	2		1	1	98	60	1	1	6021			800000	01	50	252.665265978446
3909583	1	2	1	60	50	1	1			1	1	2	2	2	7		1		720000	2			1	200000	2		2		2		90000				2		1	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	84		.	84			3	7		2				1								1		2	1	9	1		2					0	2		2				2				1	1	1	1	1	2	2	2	1	1	2		2	1	1	2	2	2	3		1	1	53	55	1	1	5521			920000	01	50	252.665265978446
3909584	1	2	1	60	50	2									6																																							4			1000000	1		3		11												3		50	84		.	84			1	5		2				1								1		2	1	58	1		2					1	2		2				2				1	1	1	1	1	2	2	1	2	1	2		2	1	1	1	1	2	5		2	1	37	64	1	4	6412			1000000	01	50	324.697603360943
3909584	1	3	1	60	50	2									180																																							6			650000	1		3		12												3		50	45		.	40	6		1	2		2				1								1		2	1	240	4		2					0	2		11				2				2														1	2	1	2	9		2	1	95	45	1	4	4521			650000	01	50	324.697603360943
3909584	1	5	1	60	50	1	2	1		1	1	2	1	2	6		1		650000	2			2		2		2		2		74000				2		1	2		2	2	2			2				300000	2	2	1	2		.						.	12			2	2				2						50	48		.	48			3	7		1	1	1	0	1								1		1	1	60	1		2					0	2		1				2				2														1	1	1	2	3		1	1	39	52	1	1	5241			650000	01	50	324.697603360943
3909584	1	8	1	60	50	2									60																																							6			800000	1		3		12												3		50	55		.	20	6		2	9		2				1								1		2	1	60	4		2					0	2		4				2				2														1	2	1	2	2		2	1	95	45	1	4	4522			800000	01	50	324.697603360943
3909585	1	1	1	60	50	2									240																																							6				1		3		12												3		50	90		.	90			1	4		2				1			1							2	1	24	1		2					0	2		1				2				2														1	2	1	2	3		1	1	98	60	1	4	6031				01	50	187.175134270883
3909585	1	3	1	60	50	1	1			2	2	2	1	2	2		2		320000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	2	1		2	2				2						50	8	2		8			9	7		2				1								1		2	2				2						2		4				2				2														2	2	2	2	3		2	1	45	15	1	1	1593	7491	74	320000	01	50	187.175134270883
3909585	1	4	1	60	50	1	2	2	6	1	2	2	1	2	2		2		750000	2			2		2		2		2		74000				2		1	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	56		.	60			9	7		1	1	1	3	1								1		1	1	1	1		2					0	2		1				2				1	1	1	1	1	1	2	2	1	2	2		1	1	2	2	2	2	3		1	1	44	65	1	1	6512			750000	01	50	187.175134270883
3909586	1	1	1	60	50	2									48																																							4			500000	1		3		12												3		50	48		.	48			1	6		1	1	2	15	1	1									2	1	48	1		2					6	2		2				1	10	2	1	1	1	1	1	2	1	2	1	2	2	2		2	1	1	1	1	2	5		1	1	44	50	1	4	5011			500000	01	50	283.547145244405
3909589	1	1	1	60	50	1	1			1	1	2	2	2	3		1		240000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	10			2	2				2						50	21	2		21			2	7		2				1								1		2	1	1	4		2					1	2		2				2				1	1	1	1	1	1	2	1	1	1	2		2	1	1	1	1	2	5		2	1	45	52	1	1	5211			240000	01	50	188.040031165842
3909589	2	1	2	60	50	1	1			1	1	2	2	2	2		1		230000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	6			2	2				2						50	70		.	70			2	9		2				1								1		2	2				2						2		2				2				2														1	1	2	2	5		2	1	95	45	1	1	4521			230000	01	50	188.040031165842
3909590	1	2	1	60	50	2									3																																							6			180000	1		3		3												3		50	10	2		10			1	2		2				1			1							2	1	8	4		2					0	2		2				2				2														1	2	1	2	2		2	1	55	74	1	4	7493			180000	01	50	223.769359049292
3909591	1	1	1	60	50	2									7																																							7		1	1000000	1		3		12											2015	2	1	50	48		.	48			2	7		1	1	2	11	1		1								1	1	78	1		2					0	1		1				2				2														1	1	1	2	2		1	1	41	52	1	4	5211			1000000	01	50	252.665265978446
3909591	1	2	1	60	50	1	2	1		1	1	1	1	1	4		2		1800000	2			2		2		2		2								2	2		2	2	2			2			900000		2	1	2	2		.						.	12			2	2				2						50	48		.	48			9	7		1	1	1	5	1	1									1	1	48	1		2					0	2		1				2				2														1	1	1	2	2		1	1	19	85	1	1	8512			1800000	01	50	252.665265978446
3909592	1	1	1	60	50	2									288																																							7		2	8000000	1		3		12												1		50	70		.	70			1	7		2				1			1	1						1	1	60	2		2					0	2		1				2				2														1	1	1	2	3		1	1	44	70	1	4	7020			8000000	01	50	201.21978017167
3909592	1	2	1	60	50	2									192																																							7		2	10000000	1		3		12												1		50	70		.	70			1	7		2				1			1							1	1	84	2		2					0	2		1				2				2														1	1	1	1	3		1	1	12	74	1	4	7411			10000000	01	50	201.21978017167
3909593	1	1	1	60	50	2									60																																							7		1	0	1		3		8											2015	1	1	50	40		.	20	6		1	8		1	2	2	27	1	1			1						2	1	180	1		2					0	2		1				2				2														1	1	1	2	5		1	1	05	52	1	4	5239			0	01	50	208.699122225551
3909594	1	1	1	60	50	2									240																																							7		2	1000000	1		3		12												2		50	60		.	60			4	7		2				1								1		2	2				2						2		5				2				1	1	2	1	1	2	2	2	2	2	2		2	2	2	2	2	2	3		1	2	53	55	1	5	5521			1000000	01	50	190.597793557735
3909594	1	2	1	60	50	2									60																																							7		2	1000000	1		3		12												2		50	60		.	60			4	7		2				1								1		2	1	120	1		2					12	2		5				2				2														2	2	2	2	8		2	2	53	55	1	4	5521			1000000	01	50	190.597793557735
3909599	1	1	1	60	50	1	2	1		1	1	1	1	1	48		5		4000000	2			2		2		2		2								2	2		2	2	2			1		2000000	2000000	4000000	2	1	1	2		.						.	12			2	2				2						50	40		.	40			9	7		1	2	1	9	1	1									1	1	48	4		2					0	1		1				2				2														1	1	1	2	1		1	1	12	75	1	2	7512			4000000	01	50	209.399797863685
3909601	1	1	1	60	50	1	2	1		1	1	1	1	1	412		2		2900000	2			2		2		2		2								2	2		2	2	2			1		1450000	1450000	2900000	2	1	1	2		.						.	12			2	2				2						50	40		.	40			9	7		1	2	1	36	1	1									1	2				2						1		1				2				2														1	1	1	2	1		1	1	21	75	1	2	7513			2900000	01	50	198.077135611615
3909605	1	1	1	60	50	1	1			1	1	2	2	2	240		1		689455	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	48		.	48			1	2		2				1								1		2	1	24	4		2					0	2		1				2				2														2	2	1	2	3		2	1	54	95	1	3	9500			689455	01	50	182.978312877777
3909605	1	2	1	60	50	1	2	1		1	1	2	1	1	24		3		880000	2			2		2		2		2		77700	27100		2	2		1	1		2	2	2			2				880000	2	2	1	2		.						.	12			2	2				2						50	48		.	48			9	7		1	2	1	3	1	1									1	1	12	1		2					4	1		1				2				2														1	1	1	2	1		1	1	58	85	1	1	8512			880000	01	50	182.978312877777
3909606	1	1	1	60	50	2									18																																							6			800000	1		3		12												3		50	60		.	50	6		1	4		1	1	2	9	1	1									1	1	96	1		2					0	2		1				2				1	1	1	1	2	2	2	2	2	2	2		2	1	2	2	2	2	8		2	1	98	60	1	4	6022			800000	01	50	290.218388580756
3909606	1	5	1	60	50	1	2	1		1	1	2	2	2	0		2		1000000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	9			2	2				2						50	48		.	48			7	9		1	1	1	2	1	1									1	1	3	1		2					3	2		1				2				2														1	2	1	2	8		1	1	95	45	1	1	4521			1000000	01	50	290.218388580756
3909607	1	1	1	60	50	2									180																																							7		1	2500000	1		3		12											2015	2	1	50	60		.	60			3	7		2				1				1						2	1	144	1		2					0	2		3				2				1	1	1	2	2	2	2	2	2	2	2		2	1	2	2	1	2	3		1	1	93	50	1	5	5040			2500000	01	50	272.407436178729
3909607	1	2	1	60	50	1	2	1		1	1	2	1	1	12		2		645400	2			2		2		2		2		74500	27200		2	2		1	1		2	2	2			2			360000	360000	2	1	1	2		.						.	12			2	2				2						50	72		.	72			8	7		1	1	1	6	1	1									1	1	12	1		2					98	1		1				2				2														1	1	1	2	3		1	2	45	52	1	1	5233			645400	01	50	272.407436178729
3909608	1	2	1	60	50	2									10																																							6				1		3		12												3		50	60		.	60			1	4		2				1								1		2	1	120	4		2					2	2		5				2				2														1	2	1	2	3		2	2	98	60	1	4	6022				01	50	242.04327936451
3909609	1	1	1	60	50	1	2	1		1	1	2	1	1	24		1		900000	2			1	120000	2		2		2								2	2		2	2	2			2				900000	2	2	1	2		.						.	12			2	2				2						50	70		.	70			2	7		1	1	1	2	1	1									1	1	24	1		2					0	2		2				2				2														1	1	1	2	3		1	2	50	55	1	1	5521			1020000	01	50	276.433448455686
3909609	1	2	1	60	50	1	2	1		1	1	2	1	1	4		2		800000	2			1		2		2		2								2	2		2	2	2			2				800000	2	2	1	2		.						.	4			2	2				2						50	70		.	70			3	7		1	1	1	0	1	1									1	2				2						2		1				2				1	1	1	1	1	1	2	2	1	2	2		2	1	2	2	2	2	3		2	2	53	55	1	1	5521			800000	01	50	276.433448455686
3909610	1	1	1	60	50	1	1			1	2	2	2	2	6																																							4			800000	1		3		12												3		50	40		.	40			2	5		2				1								1		2	1	24	1		2					0	2		2				2				1	1	1	1	2	1	2	2	2	2	1	ESTABILIDAD LABORAL	2	1	2	2	1	2	3		2	1	33	65	1	4	6599			800000	01	50	209.399797863685
3909610	1	2	1	60	50	1	2	2	12	1	1	2	1	1	24		2		800000	2			2		2		2		2		74500				2		1	2		2	2	2			2				800000	2	2	1	2		.						.	12			2	2				2						50	48		.	48			9	7		1	1	1	10	1	1									1	1	48	1		2					0	1		1				2				2														1	1	1	2	3		1	1	33	45	1	1	4530			800000	01	50	209.399797863685
3909612	1	1	1	60	50	1	1			1	2	2	2	2	24		1		800000	2			1	150000	2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	16	1		16			3	7		2				1								1		2	1	6	1		2					0	2		3				1	16	2	1	2														1	1	1	2	3		1	1	53	55	1	1	5529			950000	01	50	220.539506929362
3909613	1	1	1	60	50	2									168																																							6			1000000	1		3		12												3		50	20	1		20			2	7		2				1								1		2	2				2						2		1				1	20	1	1	2														1	1	1	1	3		1	1	17	92	1	4	9214			1000000	01	50	330.476847482189
3909613	1	6	1	60	50	2									180																																							6			1000000	1		3		12												3		50	30	2		30			2	7		2				1								1		2	2				2						2		1				2				2														1	1	1	2	3		1	1	17	92	1	4	9214			1000000	01	50	330.476847482189
3909613	1	7	1	60	50	2									120																																							6			1000000	1		3		12												3		50	25	2		25			2	7		2				1								1		2	2				2						2		1				2				2														1	1	1	2	3		1	1	17	92	1	4	9214			1000000	01	50	330.476847482189
3909614	1	2	1	60	50	2									168																																							7		2	1000000	1		3		12												2		50	72		.	72			1	7		2				1								1		2	1	168	4		2					0	2	SISBEN	12				2				2														1	1	1	2	8		1	2	84	50	1	4	5040			1000000	01	50	242.743955002644
3909615	1	1	1	60	50	1	2	1		1	1	2	1	1	48		2		2500000	2			2		2		2		2		74000	27100		2	1		1	1		2	2	2			2				2500000	2	2	1	2		.						.	12			2	2				2						50	50		.	0	3		6	7		1	1	1	19	1			1							1	1	18	1		2					0	1		1				2				2														1	1	1	2	6		1	1	40	50	1	1	5051			2500000	01	50	205.150307929735
3909615	1	2	1	60	50	1	2	1		1	1	1	1	1	108		5		1360000	2			2		2		2		2							2	2	2	40000	2	1	2			2			1500000	1360000	2	1	1	2		.						.	12			2	2			350000	1	2					50	56		.	0	1		9	7		1	3	1	7	1	1									1	1	18	1		2					0	1		1				2				2														1	1	1	2	5		1	1	58	75	1	2	7524			1360000	01	50	205.150307929735
3909615	1	4	1	60	50	2									480																																							7		1	1000000	1		3		12											2015	2	1	50	60		.	60			1	7		2				1								1		2	1	60	5		2					0	2		3				2				2														1	1	1	2	3		1	1	79	50	1	4	5020			1000000	01	50	205.150307929735
3909615	1	5	1	60	50	1	2	1		1	1	2	1	1	9		2		712000	2			2		2		2		2		74000				1		1	2		2	2	2			2				360000	2	2	1	2		.						.	12			2	2				2						50	48		.	48			6	7		1	1	1	3	1								1		1	1	12	1		2					0	1		1				2				1	1	1	1	2	2	2	2	2	2	2		2	1	1	2	1	2	3		1	1	39	74	1	1	7412			712000	01	50	205.150307929735
3909616	1	1	1	60	50	1	1			1	1	2	2	2	24																																							4			1100000	1		3		12												3		50	54		.	54			3	7		2				1								1		2	1	72	1		2					1	2		3				2				2														1	1	1	2	3		1	1	92	22	1	4	2220			1100000	01	50	238.350459331389
3909616	1	2	1	60	50	1	2	2	12	1	1	2	1	1	10		2		710000	2			2		2		2		2		74000				1		1	2		2	2	2			2				350000	2	2	1	2		.						.	11			2	2				2						50	48		.	48			6	7		1	1	1	1	1								1		1	1	18	1		2					1	1		1				2				2														1	1	1	2	3		1	1	33	62	1	1	6211			710000	01	50	238.350459331389
3909619	1	2	1	60	50	1	2	1		1	1	2	1	1	12		2		900000	2			2		2		2		2		74000				1		1	2		2	2	2			2				900000	2	2	1	2		.						.	12			2	2				2						50	84		.	84			9	7		1	1	1	1	1								1		1	1	2	1		2					3	1		1				2				2														1	1	1	2	5		1	1	30	92	1	1	9212			900000	01	50	154.082405948624
3909620	1	1	1	60	50	2									216																																							6			1200000	1		3		12												3		50	96		.	96			1	4		2				1								1		2	1	240	4		2					0	2		2				2				2														1	1	1	2	5		2	2	98	60	1	4	6031			1200000	01	50	286.009423117405
3909620	1	3	1	60	50	2									120																																							6			1200000	1		3		12												3		50	54		.	54			1	6		2				1								1		2	1	24	1		2					0	2		2				2				1	1	1	1	2	2	2	2	1	1	2		1	1	1	2	2	2	3		2	1	45	52	1	4	5262			1200000	01	50	286.009423117405
3909621	1	1	1	60	50	2									42																																							6			0	12		3		12												3		50	30	2		30			1	1		2				1								1		2	1	60	4		2					6	2		1				2				2														1	1	1	2	10	PENSION	1	1	56	93	1	4	9301			0	01	50	270.910600383567
3909621	1	2	1	60	50	2									120																																							6				1		3		12												3		50	84		.	84			1	4		2				1								1		2	1	9	1		2					0	2		1				2				2														1	1	1	2	5		1	1	98	60	1	4	6021				01	50	270.910600383567
3909621	1	4	1	60	50	2									72																																							6				1		3		12												3		50	90		.	90			1	4		2				1								1		2	1	24	1		2					0	2		1				2				2														1	1	1	2	5		1	1	98	60	1	4	6021				01	50	270.910600383567
3909622	1	1	1	60	50	1	2	1		1	1	2	1	1	22		1		1300000	2			2		2		2		2		74000	27000		2	1		1	1		2	2	1	450000	1	2	1000000			1300000	1	2	1	2		.						.	12			2	2				2						50	80		.	80			9	4		1	2	1	20	1	1									1	1	12	1		2					1	1		1				2				2														1	2	2	2	1		1	2	98	60	1	1	6042			1300000	01	50	227.911425903848
3909623	1	1	1	60	50	2									120																																							4				1		3		12												3		50	40		.	40			1	6		2				1								1		2	1	180	4		2					0	2		2				2				2														1	1	1	2	5		2	1	44	50	1	4	5012				01	50	253.36594161658
3909624	1	1	1	60	50	1	1			1	1	2	2	2	5		1		1200000	2			2		2		2		2								2	2		2	2	2			2	70000				1	2	2	2		.						.	5			2	2				2						50	40		.	40			3	7		1	2	3	7	1								1		2	1	15	1		2					7	2		1				2				2														1	1	1	2	3		2	1	21	85	1	1	8532			1200000	01	50	182.978312877777
3909625	1	1	1	60	50	2									42																																							4			1000000	1		3		12												3		50	50		.	0	3		1	5		1	1	1	14	1								1		2	1	12	1		2					0	2		1				2				2														1	1	1	2	5		1	1	44	50	1	4	5012			1000000	01	50	143.208990517988
3909625	1	2	1	60	50	2									36																																							6				1		3		12												3		50	40		.	0	3		1	5		2				1								1		2	2				2						2		10				2				2														1	1	1	2	5		1	1	41	52	1	4	5233				01	50	143.208990517988
3909625	1	3	1	60	50	2									36																																							6			1000000	1		3		12												3		50	40		.	40			1	5		2				1								1		2	1	12	1		2					0	2		3				2				2														1	1	1	2	5		1	1	41	52	1	4	5234			1000000	01	50	143.208990517988
3909627	1	1	1	60	50	1	1			1	1	2	1	1	19		1		850000	2			2		2		2		2		74000				2		1	2		2	2	2			2				850000	2	2	1	2		.						.	12			2	2				2						50	70		.	70			3	7		2				1								1		1	1	54	1		2					0	2		1				2				2														1	1	2	2	5		1	1	45	52	1	1	5239			850000	01	50	169.097888233814
3909627	1	2	1	60	50	1	1			1	2	2	2	2	24		5		350000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			1	2				2						50	50		.	20	3		8	7		2				1								1		2	2				2						2	EL EQUIPO DONDE JUEGA TIENE MEDICOS	12				2				2														1	2	1	2	3		2	1	18	92	1	1	9241			350000	01	50	169.097888233814
