Period,Release,Studio,Count,Box Office
"55","Nov 2004","Warner Bros. Pictures","66","3854.7"
"55","Nov 2004","20th Century Fox","53","3050.7"
"55","Nov 2004","Universal Pictures","54","3950.4"
"55","Nov 2004","Walt Disney Pictures","8","510.8"
"55","Nov 2004","Paramount Pictures","60","2887.0"
"55","Nov 2004","Sony Pictures","16","1399.2"
"55","Nov 2004","New Line Cinema","47","2777.5"
"55","Nov 2004","Columbia Pictures","40","2125.0"
"55","Nov 2004","Buena Vista","6","575.6"
"55","Nov 2004","Lionsgate Films","0","0"
"56","Dec 2004","Warner Bros. Pictures","68","4031.3"
"56","Dec 2004","20th Century Fox","55","3119.6"
"56","Dec 2004","Universal Pictures","55","4229.6"
"56","Dec 2004","Walt Disney Pictures","8","510.8"
"56","Dec 2004","Paramount Pictures","61","3005.5"
"56","Dec 2004","Sony Pictures","17","1433.2"
"56","Dec 2004","New Line Cinema","48","2829.9"
"56","Dec 2004","Columbia Pictures","40","2125.0"
"56","Dec 2004","Buena Vista","6","575.6"
"56","Dec 2004","Lionsgate Films","0","0"
"57","Jan 2005","Warner Bros. Pictures","71","4187.1"
"57","Jan 2005","20th Century Fox","57","3194.9"
"57","Jan 2005","Universal Pictures","57","4331.0"
"57","Jan 2005","Walt Disney Pictures","8","510.8"
"57","Jan 2005","Paramount Pictures","62","3072.7"
"57","Jan 2005","Sony Pictures","18","1515.5"
"57","Jan 2005","New Line Cinema","48","2829.9"
"57","Jan 2005","Columbia Pictures","40","2125.0"
"57","Jan 2005","Buena Vista","6","575.6"
"57","Jan 2005","Lionsgate Films","0","0"
"58","Feb 2005","Warner Bros. Pictures","72","4262.6"
"58","Feb 2005","20th Century Fox","58","3227.5"
"58","Feb 2005","Universal Pictures","58","4363.0"
"58","Feb 2005","Walt Disney Pictures","8","510.8"
"58","Feb 2005","Paramount Pictures","62","3072.7"
"58","Feb 2005","Sony Pictures","19","1693.1"
"58","Feb 2005","New Line Cinema","49","2846.9"
"58","Feb 2005","Columbia Pictures","41","2144.1"
"58","Feb 2005","Buena Vista","7","593.6"
"58","Feb 2005","Lionsgate Films","0","0"
"59","Mar 2005","Warner Bros. Pictures","72","4262.6"
"59","Mar 2005","20th Century Fox","59","3355.6"
"59","Mar 2005","Universal Pictures","58","4363.0"
"59","Mar 2005","Walt Disney Pictures","8","510.8"
"59","Mar 2005","Paramount Pictures","62","3072.7"
"59","Mar 2005","Sony Pictures","20","1761.1"
"59","Mar 2005","New Line Cinema","49","2846.9"
"59","Mar 2005","Columbia Pictures","41","2144.1"
"59","Mar 2005","Buena Vista","8","706.6"
"59","Mar 2005","Lionsgate Films","0","0"
"60","Apr 2005","Warner Bros. Pictures","72","4262.6"
"60","Apr 2005","20th Century Fox","60","3397.6"
"60","Apr 2005","Universal Pictures","59","4435.5"
"60","Apr 2005","Walt Disney Pictures","8","510.8"
"60","Apr 2005","Paramount Pictures","63","3141.3"
"60","Apr 2005","Sony Pictures","21","1787.2"
"60","Apr 2005","New Line Cinema","50","2865.6"
"60","Apr 2005","Columbia Pictures","41","2144.1"
"60","Apr 2005","Buena Vista","8","706.6"
"60","Apr 2005","Lionsgate Films","0","0"
"61","May 2005","Warner Bros. Pictures","74","4295.4"
"61","May 2005","20th Century Fox","62","3825.1"
"61","May 2005","Universal Pictures","60","4488.1"
"61","May 2005","Walt Disney Pictures","8","510.8"
"61","May 2005","Paramount Pictures","64","3299.3"
"61","May 2005","Sony Pictures","21","1787.2"
"61","May 2005","New Line Cinema","51","2948.4"
"61","May 2005","Columbia Pictures","41","2144.1"
"61","May 2005","Buena Vista","8","706.6"
"61","May 2005","Lionsgate Films","0","0"
"62","Jun 2005","Warner Bros. Pictures","76","4544.1"
"62","Jun 2005","20th Century Fox","63","4011.2"
"62","Jun 2005","Universal Pictures","63","4586.3"
"62","Jun 2005","Walt Disney Pictures","8","510.8"
"62","Jun 2005","Paramount Pictures","66","3546.2"
"62","Jun 2005","Sony Pictures","21","1787.2"
"62","Jun 2005","New Line Cinema","51","2948.4"
"62","Jun 2005","Columbia Pictures","42","2206.4"
"62","Jun 2005","Buena Vista","9","772.5"
"62","Jun 2005","Lionsgate Films","0","0"
"63","Jul 2005","Warner Bros. Pictures","78","4794.3"
"63","Jul 2005","20th Century Fox","65","4182.4"
"63","Jul 2005","Universal Pictures","63","4586.3"
"63","Jul 2005","Walt Disney Pictures","8","510.8"
"63","Jul 2005","Paramount Pictures","66","3546.2"
"63","Jul 2005","Sony Pictures","21","1787.2"
"63","Jul 2005","New Line Cinema","52","3157.6"
"63","Jul 2005","Columbia Pictures","43","2238.1"
"63","Jul 2005","Buena Vista","11","861.8"
"63","Jul 2005","Lionsgate Films","0","0"
"64","Aug 2005","Warner Bros. Pictures","79","4874.5"
"64","Aug 2005","20th Century Fox","66","4185.4"
"64","Aug 2005","Universal Pictures","65","4743.2"
"64","Aug 2005","Walt Disney Pictures","8","510.8"
"64","Aug 2005","Paramount Pictures","66","3546.2"
"64","Aug 2005","Sony Pictures","21","1787.2"
"64","Aug 2005","New Line Cinema","52","3157.6"
"64","Aug 2005","Columbia Pictures","43","2238.1"
"64","Aug 2005","Buena Vista","12","881.2"
"64","Aug 2005","Lionsgate Films","0","0"
"65","Sep 2005","Warner Bros. Pictures","80","4927.8"
"65","Sep 2005","20th Century Fox","66","4185.4"
"65","Sep 2005","Universal Pictures","66","4768.5"
"65","Sep 2005","Walt Disney Pictures","8","510.8"
"65","Sep 2005","Paramount Pictures","66","3546.2"
"65","Sep 2005","Sony Pictures","22","1805.7"
"65","Sep 2005","New Line Cinema","54","3197.3"
"65","Sep 2005","Columbia Pictures","43","2238.1"
"65","Sep 2005","Buena Vista","12","881.2"
"65","Sep 2005","Lionsgate Films","0","0"
"66","Oct 2005","Warner Bros. Pictures","81","4946.1"
"66","Oct 2005","20th Century Fox","68","4221.5"
"66","Oct 2005","Universal Pictures","69","4842.1"
"66","Oct 2005","Walt Disney Pictures","8","510.8"
"66","Oct 2005","Paramount Pictures","68","3585.5"
"66","Oct 2005","Sony Pictures","22","1805.7"
"66","Oct 2005","New Line Cinema","54","3197.3"
"66","Oct 2005","Columbia Pictures","43","2238.1"
"66","Oct 2005","Buena Vista","12","881.2"
"66","Oct 2005","Lionsgate Films","0","0"
"67","Nov 2005","Warner Bros. Pictures","83","5240.3"
"67","Nov 2005","20th Century Fox","69","4340.8"
"67","Nov 2005","Universal Pictures","70","4904.7"
"67","Nov 2005","Walt Disney Pictures","8","510.8"
"67","Nov 2005","Paramount Pictures","70","3669.8"
"67","Nov 2005","Sony Pictures","24","1862.8"
"67","Nov 2005","New Line Cinema","55","3229.9"
"67","Nov 2005","Columbia Pictures","43","2238.1"
"67","Nov 2005","Buena Vista","12","881.2"
"67","Nov 2005","Lionsgate Films","0","0"
"68","Dec 2005","Warner Bros. Pictures","85","5333.8"
"68","Dec 2005","20th Century Fox","70","4423.3"
"68","Dec 2005","Universal Pictures","73","5142.7"
"68","Dec 2005","Walt Disney Pictures","8","510.8"
"68","Dec 2005","Paramount Pictures","71","3695.7"
"68","Dec 2005","Sony Pictures","25","1919.8"
"68","Dec 2005","New Line Cinema","55","3229.9"
"68","Dec 2005","Columbia Pictures","44","2348.4"
"68","Dec 2005","Buena Vista","13","1172.9"
"68","Dec 2005","Lionsgate Films","0","0"
"69","Jan 2006","Warner Bros. Pictures","85","5333.8"
"69","Jan 2006","20th Century Fox","74","4514.3"
"69","Jan 2006","Universal Pictures","75","5237.2"
"69","Jan 2006","Walt Disney Pictures","9","527.6"
"69","Jan 2006","Paramount Pictures","72","3734.1"
"69","Jan 2006","Sony Pictures","25","1919.8"
"69","Jan 2006","New Line Cinema","56","3242.4"
"69","Jan 2006","Columbia Pictures","44","2348.4"
"69","Jan 2006","Buena Vista","14","1182.9"
"69","Jan 2006","Lionsgate Films","0","0"
"70","Feb 2006","Warner Bros. Pictures","85","5333.8"
"70","Feb 2006","20th Century Fox","75","4562.8"
"70","Feb 2006","Universal Pictures","76","5295.5"
"70","Feb 2006","Walt Disney Pictures","9","527.6"
"70","Feb 2006","Paramount Pictures","72","3734.1"
"70","Feb 2006","Sony Pictures","26","1920.2"
"70","Feb 2006","New Line Cinema","58","3303.2"
"70","Feb 2006","Columbia Pictures","44","2348.4"
"70","Feb 2006","Buena Vista","14","1182.9"
"70","Feb 2006","Lionsgate Films","0","0"
"71","Mar 2006","Warner Bros. Pictures","87","5446.3"
"71","Mar 2006","20th Century Fox","77","4776.7"
"71","Mar 2006","Universal Pictures","78","5391.7"
"71","Mar 2006","Walt Disney Pictures","9","527.6"
"71","Mar 2006","Paramount Pictures","73","3822.8"
"71","Mar 2006","Sony Pictures","28","1944.4"
"71","Mar 2006","New Line Cinema","58","3303.2"
"71","Mar 2006","Columbia Pictures","44","2348.4"
"71","Mar 2006","Buena Vista","16","1266.9"
"71","Mar 2006","Lionsgate Films","0","0"
"72","Apr 2006","Warner Bros. Pictures","87","5446.3"
"72","Apr 2006","20th Century Fox","78","4812.9"
"72","Apr 2006","Universal Pictures","80","5430.4"
"72","Apr 2006","Walt Disney Pictures","9","527.6"
"72","Apr 2006","Paramount Pictures","74","3823.4"
"72","Apr 2006","Sony Pictures","29","1991.4"
"72","Apr 2006","New Line Cinema","59","3337.9"
"72","Apr 2006","Columbia Pictures","45","2419.8"
"72","Apr 2006","Buena Vista","18","1331.1"
"72","Apr 2006","Lionsgate Films","0","0"
"73","May 2006","Warner Bros. Pictures","88","5507.0"
"73","May 2006","20th Century Fox","80","5064.3"
"73","May 2006","Universal Pictures","80","5430.4"
"73","May 2006","Walt Disney Pictures","9","527.6"
"73","May 2006","Paramount Pictures","75","3956.8"
"73","May 2006","Sony Pictures","30","2208.9"
"73","May 2006","New Line Cinema","60","3346.0"
"73","May 2006","Columbia Pictures","45","2419.8"
"73","May 2006","Buena Vista","18","1331.1"
"73","May 2006","Lionsgate Films","1","15"
"74","Jun 2006","Warner Bros. Pictures","90","5759.3"
"74","Jun 2006","20th Century Fox","83","5271.9"
"74","Jun 2006","Universal Pictures","82","5611.6"
"74","Jun 2006","Walt Disney Pictures","9","527.6"
"74","Jun 2006","Paramount Pictures","76","4037.0"
"74","Jun 2006","Sony Pictures","30","2208.9"
"74","Jun 2006","New Line Cinema","60","3346.0"
"74","Jun 2006","Columbia Pictures","45","2419.8"
"74","Jun 2006","Buena Vista","19","1575.2"
"74","Jun 2006","Lionsgate Films","1","15"
"75","Jul 2006","Warner Bros. Pictures","92","5829.6"
"75","Jul 2006","20th Century Fox","85","5335.2"
"75","Jul 2006","Universal Pictures","84","5750.6"
"75","Jul 2006","Walt Disney Pictures","9","527.6"
"75","Jul 2006","Paramount Pictures","76","4037.0"
"75","Jul 2006","Sony Pictures","30","2208.9"
"75","Jul 2006","New Line Cinema","60","3346.0"
"75","Jul 2006","Columbia Pictures","45","2419.8"
"75","Jul 2006","Buena Vista","20","1998.2"
"75","Jul 2006","Lionsgate Films","1","15"
"76","Aug 2006","Warner Bros. Pictures","93","5848.6"
"76","Aug 2006","20th Century Fox","85","5335.2"
"76","Aug 2006","Universal Pictures","86","5799.4"
"76","Aug 2006","Walt Disney Pictures","9","527.6"
"76","Aug 2006","Paramount Pictures","78","4179.8"
"76","Aug 2006","Sony Pictures","30","2208.9"
"76","Aug 2006","New Line Cinema","63","3449.9"
"76","Aug 2006","Columbia Pictures","45","2419.8"
"76","Aug 2006","Buena Vista","22","2121.3"
"76","Aug 2006","Lionsgate Films","1","15"
"77","Sep 2006","Warner Bros. Pictures","93","5848.6"
"77","Sep 2006","20th Century Fox","86","5349.7"
"77","Sep 2006","Universal Pictures","87","5821.9"
"77","Sep 2006","Walt Disney Pictures","9","527.6"
"77","Sep 2006","Paramount Pictures","79","4180.0"
"77","Sep 2006","Sony Pictures","32","2331.6"
"77","Sep 2006","New Line Cinema","63","3449.9"
"77","Sep 2006","Columbia Pictures","45","2419.8"
"77","Sep 2006","Buena Vista","22","2121.3"
"77","Sep 2006","Lionsgate Films","1","15"
"78","Oct 2006","Warner Bros. Pictures","94","5980.9"
"78","Oct 2006","20th Century Fox","88","5389.3"
"78","Oct 2006","Universal Pictures","88","5859.3"
"78","Oct 2006","Walt Disney Pictures","9","527.6"
"78","Oct 2006","Paramount Pictures","79","4180.0"
"78","Oct 2006","Sony Pictures","34","2354.4"
"78","Oct 2006","New Line Cinema","64","3489.3"
"78","Oct 2006","Columbia Pictures","45","2419.8"
"78","Oct 2006","Buena Vista","22","2121.3"
"78","Oct 2006","Lionsgate Films","2","95.2"
"79","Nov 2006","Warner Bros. Pictures","96","6188.8"
"79","Nov 2006","20th Century Fox","91","5560.2"
"79","Nov 2006","Universal Pictures","89","5864.8"
"79","Nov 2006","Walt Disney Pictures","9","527.6"
"79","Nov 2006","Paramount Pictures","79","4180.0"
"79","Nov 2006","Sony Pictures","35","2394.5"
"79","Nov 2006","New Line Cinema","66","3502.8"
"79","Nov 2006","Columbia Pictures","45","2419.8"
"79","Nov 2006","Buena Vista","24","2269.6"
"79","Nov 2006","Lionsgate Films","2","95.2"
"80","Dec 2006","Warner Bros. Pictures","98","6289.6"
"80","Dec 2006","20th Century Fox","92","5811.0"
"80","Dec 2006","Universal Pictures","90","5924.6"
"80","Dec 2006","Walt Disney Pictures","9","527.6"
"80","Dec 2006","Paramount Pictures","80","4262.1"
"80","Dec 2006","Sony Pictures","37","2620.3"
"80","Dec 2006","New Line Cinema","67","3540.4"
"80","Dec 2006","Columbia Pictures","45","2419.8"
"80","Dec 2006","Buena Vista","25","2320.4"
"80","Dec 2006","Lionsgate Films","3","96.2"
"81","Jan 2007","Warner Bros. Pictures","99","6290.5"
"81","Jan 2007","20th Century Fox","95","5852.0"
"81","Jan 2007","Universal Pictures","92","5995.5"
"81","Jan 2007","Walt Disney Pictures","9","527.6"
"81","Jan 2007","Paramount Pictures","81","4298.6"
"81","Jan 2007","Sony Pictures","37","2620.3"
"81","Jan 2007","New Line Cinema","68","3548.5"
"81","Jan 2007","Columbia Pictures","45","2419.8"
"81","Jan 2007","Buena Vista","25","2320.4"
"81","Jan 2007","Lionsgate Films","3","96.2"
"82","Feb 2007","Warner Bros. Pictures","101","6354.7"
"82","Feb 2007","20th Century Fox","96","5872.3"
"82","Feb 2007","Universal Pictures","93","6038.1"
"82","Feb 2007","Walt Disney Pictures","9","527.6"
"82","Feb 2007","Paramount Pictures","81","4298.6"
"82","Feb 2007","Sony Pictures","38","2736.1"
"82","Feb 2007","New Line Cinema","68","3548.5"
"82","Feb 2007","Columbia Pictures","45","2419.8"
"82","Feb 2007","Buena Vista","26","2402.6"
"82","Feb 2007","Lionsgate Films","4","127.5"
"83","Mar 2007","Warner Bros. Pictures","103","6619.4"
"83","Mar 2007","20th Century Fox","96","5872.3"
"83","Mar 2007","Universal Pictures","94","6054.6"
"83","Mar 2007","Walt Disney Pictures","9","527.6"
"83","Mar 2007","Paramount Pictures","84","4496.8"
"83","Mar 2007","Sony Pictures","39","2755.8"
"83","Mar 2007","New Line Cinema","69","3569.9"
"83","Mar 2007","Columbia Pictures","45","2419.8"
"83","Mar 2007","Buena Vista","28","2668.5"
"83","Mar 2007","Lionsgate Films","4","127.5"
"84","Apr 2007","Warner Bros. Pictures","105","6655.5"
"84","Apr 2007","20th Century Fox","98","5896.4"
"84","Apr 2007","Universal Pictures","94","6054.6"
"84","Apr 2007","Walt Disney Pictures","9","527.6"
"84","Apr 2007","Paramount Pictures","85","4514.8"
"84","Apr 2007","Sony Pictures","41","2829.5"
"84","Apr 2007","New Line Cinema","69","3569.9"
"84","Apr 2007","Columbia Pictures","45","2419.8"
"84","Apr 2007","Buena Vista","29","2689.0"
"84","Apr 2007","Lionsgate Films","5","134.8"
"85","May 2007","Warner Bros. Pictures","106","6661.2"
"85","May 2007","20th Century Fox","98","5896.4"
"85","May 2007","Universal Pictures","95","6073.5"
"85","May 2007","Walt Disney Pictures","9","527.6"
"85","May 2007","Paramount Pictures","85","4514.8"
"85","May 2007","Sony Pictures","42","3166.0"
"85","May 2007","New Line Cinema","69","3569.9"
"85","May 2007","Columbia Pictures","45","2419.8"
"85","May 2007","Buena Vista","30","2998.4"
"85","May 2007","Lionsgate Films","6","141.8"
"86","Jun 2007","Warner Bros. Pictures","108","6803.8"
"86","Jun 2007","20th Century Fox","100","6162.7"
"86","Jun 2007","Universal Pictures","96","6173.8"
"86","Jun 2007","Walt Disney Pictures","9","527.6"
"86","Jun 2007","Paramount Pictures","85","4514.8"
"86","Jun 2007","Sony Pictures","43","3224.9"
"86","Jun 2007","New Line Cinema","69","3569.9"
"86","Jun 2007","Columbia Pictures","45","2419.8"
"86","Jun 2007","Buena Vista","30","2998.4"
"86","Jun 2007","Lionsgate Films","6","141.8"
"87","Jul 2007","Warner Bros. Pictures","111","7182.6"
"87","Jul 2007","20th Century Fox","101","6345.7"
"87","Jul 2007","Universal Pictures","97","6293.5"
"87","Jul 2007","Walt Disney Pictures","9","527.6"
"87","Jul 2007","Paramount Pictures","85","4514.8"
"87","Jul 2007","Sony Pictures","43","3224.9"
"87","Jul 2007","New Line Cinema","70","3688.7"
"87","Jul 2007","Columbia Pictures","45","2419.8"
"87","Jul 2007","Buena Vista","30","2998.4"
"87","Jul 2007","Lionsgate Films","6","141.8"
"88","Aug 2007","Warner Bros. Pictures","111","7182.6"
"88","Aug 2007","20th Century Fox","101","6345.7"
"88","Aug 2007","Universal Pictures","99","6524.0"
"88","Aug 2007","Walt Disney Pictures","9","527.6"
"88","Aug 2007","Paramount Pictures","87","4566.9"
"88","Aug 2007","Sony Pictures","44","3238.1"
"88","Aug 2007","New Line Cinema","71","3828.8"
"88","Aug 2007","Columbia Pictures","45","2419.8"
"88","Aug 2007","Buena Vista","31","3042.1"
"88","Aug 2007","Lionsgate Films","7","145.8"
"89","Sep 2007","Warner Bros. Pictures","112","7219.4"
"89","Sep 2007","20th Century Fox","101","6345.7"
"89","Sep 2007","Universal Pictures","101","6583.2"
"89","Sep 2007","Walt Disney Pictures","9","527.6"
"89","Sep 2007","Paramount Pictures","87","4566.9"
"89","Sep 2007","Sony Pictures","45","3288.7"
"89","Sep 2007","New Line Cinema","73","3867.3"
"89","Sep 2007","Columbia Pictures","45","2419.8"
"89","Sep 2007","Buena Vista","32","3132.6"
"89","Sep 2007","Lionsgate Films","9","234.4"
"90","Oct 2007","Warner Bros. Pictures","114","7272.2"
"90","Oct 2007","20th Century Fox","101","6345.7"
"90","Oct 2007","Universal Pictures","102","6599.5"
"90","Oct 2007","Walt Disney Pictures","9","527.6"
"90","Oct 2007","Paramount Pictures","88","4603.7"
"90","Oct 2007","Sony Pictures","45","3288.7"
"90","Oct 2007","New Line Cinema","74","3877.0"
"90","Oct 2007","Columbia Pictures","45","2419.8"
"90","Oct 2007","Buena Vista","33","3180.2"
"90","Oct 2007","Lionsgate Films","10","297.7"
"91","Nov 2007","Warner Bros. Pictures","116","7375.7"
"91","Nov 2007","20th Century Fox","102","6377.6"
"91","Nov 2007","Universal Pictures","103","6729.6"
"91","Nov 2007","Walt Disney Pictures","10","655.3"
"91","Nov 2007","Paramount Pictures","90","4812.5"
"91","Nov 2007","Sony Pictures","46","3337.8"
"91","Nov 2007","New Line Cinema","76","3889.1"
"91","Nov 2007","Columbia Pictures","45","2419.8"
"91","Nov 2007","Buena Vista","33","3180.2"
"91","Nov 2007","Lionsgate Films","10","297.7"
"92","Dec 2007","Warner Bros. Pictures","117","7632.0"
"92","Dec 2007","20th Century Fox","104","6636.5"
"92","Dec 2007","Universal Pictures","104","6796.2"
"92","Dec 2007","Walt Disney Pictures","10","655.3"
"92","Dec 2007","Paramount Pictures","90","4812.5"
"92","Dec 2007","Sony Pictures","46","3337.8"
"92","Dec 2007","New Line Cinema","77","3959.2"
"92","Dec 2007","Columbia Pictures","45","2419.8"
"92","Dec 2007","Buena Vista","33","3180.2"
"92","Dec 2007","Lionsgate Films","10","297.7"
"93","Jan 2008","Warner Bros. Pictures","119","7752.3"
"93","Jan 2008","20th Century Fox","106","6751.5"
"93","Jan 2008","Universal Pictures","105","6808.9"
"93","Jan 2008","Walt Disney Pictures","10","655.3"
"93","Jan 2008","Paramount Pictures","90","4812.5"
"93","Jan 2008","Sony Pictures","46","3337.8"
"93","Jan 2008","New Line Cinema","77","3959.2"
"93","Jan 2008","Columbia Pictures","45","2419.8"
"93","Jan 2008","Buena Vista","33","3180.2"
"93","Jan 2008","Lionsgate Films","10","297.7"
"94","Feb 2008","Warner Bros. Pictures","120","7822.5"
"94","Feb 2008","20th Century Fox","107","6831.6"
"94","Feb 2008","Universal Pictures","107","6883.1"
"94","Feb 2008","Walt Disney Pictures","10","655.3"
"94","Feb 2008","Paramount Pictures","91","4883.6"
"94","Feb 2008","Sony Pictures","46","3337.8"
"94","Feb 2008","New Line Cinema","81","4011.6"
"94","Feb 2008","Columbia Pictures","45","2419.8"
"94","Feb 2008","Buena Vista","33","3180.2"
"94","Feb 2008","Lionsgate Films","11","329.1"
"95","Mar 2008","Warner Bros. Pictures","121","7917.3"
"95","Mar 2008","20th Century Fox","109","7011.9"
"95","Mar 2008","Universal Pictures","108","6894.1"
"95","Mar 2008","Walt Disney Pictures","10","655.3"
"95","Mar 2008","Paramount Pictures","93","4927.3"
"95","Mar 2008","Sony Pictures","46","3337.8"
"95","Mar 2008","New Line Cinema","81","4011.6"
"95","Mar 2008","Columbia Pictures","45","2419.8"
"95","Mar 2008","Buena Vista","34","3225.8"
"95","Mar 2008","Lionsgate Films","12","371.0"
"96","Apr 2008","Warner Bros. Pictures","122","7955.4"
"96","Apr 2008","20th Century Fox","110","7016.5"
"96","Apr 2008","Universal Pictures","111","7048.5"
"96","Apr 2008","Walt Disney Pictures","10","655.3"
"96","Apr 2008","Paramount Pictures","93","4927.3"
"96","Apr 2008","Sony Pictures","46","3337.8"
"96","Apr 2008","New Line Cinema","81","4011.6"
"96","Apr 2008","Columbia Pictures","45","2419.8"
"96","Apr 2008","Buena Vista","34","3225.8"
"96","Apr 2008","Lionsgate Films","12","371.0"
"97","May 2008","Warner Bros. Pictures","124","8151.9"
"97","May 2008","20th Century Fox","111","7096.7"
"97","May 2008","Universal Pictures","112","7101.0"
"97","May 2008","Walt Disney Pictures","11","796.9"
"97","May 2008","Paramount Pictures","95","5562.6"
"97","May 2008","Sony Pictures","46","3337.8"
"97","May 2008","New Line Cinema","81","4011.6"
"97","May 2008","Columbia Pictures","45","2419.8"
"97","May 2008","Buena Vista","34","3225.8"
"97","May 2008","Lionsgate Films","12","371.0"
"98","Jun 2008","Warner Bros. Pictures","125","8282.1"
"98","Jun 2008","20th Century Fox","112","7161.2"
"98","Jun 2008","Universal Pictures","114","7369.8"
"98","Jun 2008","Walt Disney Pictures","12","1020.6"
"98","Jun 2008","Paramount Pictures","97","5810.2"
"98","Jun 2008","Sony Pictures","47","3437.8"
"98","Jun 2008","New Line Cinema","81","4011.6"
"98","Jun 2008","Columbia Pictures","45","2419.8"
"98","Jun 2008","Buena Vista","34","3225.8"
"98","Jun 2008","Lionsgate Films","12","371.0"
"99","Jul 2008","Warner Bros. Pictures","126","8383.8"
"99","Jul 2008","20th Century Fox","115","7223.5"
"99","Jul 2008","Universal Pictures","116","7589.3"
"99","Jul 2008","Walt Disney Pictures","12","1020.6"
"99","Jul 2008","Paramount Pictures","97","5810.2"
"99","Jul 2008","Sony Pictures","47","3437.8"
"99","Jul 2008","New Line Cinema","81","4011.6"
"99","Jul 2008","Columbia Pictures","47","2748.2"
"99","Jul 2008","Buena Vista","34","3225.8"
"99","Jul 2008","Lionsgate Films","12","371.0"
"100","Aug 2008","Warner Bros. Pictures","128","8462.9"
"100","Aug 2008","20th Century Fox","115","7223.5"
"100","Aug 2008","Universal Pictures","118","7727.0"
"100","Aug 2008","Walt Disney Pictures","12","1020.6"
"100","Aug 2008","Paramount Pictures","97","5810.2"
"100","Aug 2008","Sony Pictures","47","3437.8"
"100","Aug 2008","New Line Cinema","81","4011.6"
"100","Aug 2008","Columbia Pictures","47","2748.2"
"100","Aug 2008","Buena Vista","35","3256.4"
"100","Aug 2008","Lionsgate Films","13","371.0344"
"101","Sep 2008","Warner Bros. Pictures","128","8462.9"
"101","Sep 2008","20th Century Fox","115","7223.5"
"101","Sep 2008","Universal Pictures","118","7727.0"
"101","Sep 2008","Walt Disney Pictures","12","1020.6"
"101","Sep 2008","Paramount Pictures","97","5810.2"
"101","Sep 2008","Sony Pictures","47","3437.8"
"101","Sep 2008","New Line Cinema","81","4011.6"
"101","Sep 2008","Columbia Pictures","47","2748.2"
"101","Sep 2008","Buena Vista","35","3256.4"
"101","Sep 2008","Lionsgate Films","13","371.0344"
"102","Oct 2008","Warner Bros. Pictures","130","8522.5"
"102","Oct 2008","20th Century Fox","116","7264.1"
"102","Oct 2008","Universal Pictures","121","7776.5"
"102","Oct 2008","Walt Disney Pictures","14","1205.6"
"102","Oct 2008","Paramount Pictures","97","5810.2"
"102","Oct 2008","Sony Pictures","47","3437.8"
"102","Oct 2008","New Line Cinema","82","4027.3"
"102","Oct 2008","Columbia Pictures","47","2748.2"
"102","Oct 2008","Buena Vista","35","3256.4"
"102","Oct 2008","Lionsgate Films","14","384.0344"
"103","Nov 2008","Warner Bros. Pictures","130","8522.5"
"103","Nov 2008","20th Century Fox","117","7313.5"
"103","Nov 2008","Universal Pictures","122","7843.8"
"103","Nov 2008","Walt Disney Pictures","15","1319.7"
"103","Nov 2008","Paramount Pictures","97","5810.2"
"103","Nov 2008","Sony Pictures","47","3437.8"
"103","Nov 2008","New Line Cinema","83","4147.4"
"103","Nov 2008","Columbia Pictures","47","2748.2"
"103","Nov 2008","Buena Vista","35","3256.4"
"103","Nov 2008","Lionsgate Films","15","415.3344"
"104","Dec 2008","Warner Bros. Pictures","130","8522.5"
"104","Dec 2008","20th Century Fox","119","7535.7"
"104","Dec 2008","Universal Pictures","123","7894.6"
"104","Dec 2008","Walt Disney Pictures","16","1429.7"
"104","Dec 2008","Paramount Pictures","97","5810.2"
"104","Dec 2008","Sony Pictures","49","3515.9"
"104","Dec 2008","New Line Cinema","83","4147.4"
"104","Dec 2008","Columbia Pictures","47","2748.2"
"104","Dec 2008","Buena Vista","35","3256.4"
"104","Dec 2008","Lionsgate Films","16","435.1344"
"105","Jan 2009","Warner Bros. Pictures","131","8523.4"
"105","Jan 2009","20th Century Fox","120","7594.3"
"105","Jan 2009","Universal Pictures","124","7913.2"
"105","Jan 2009","Walt Disney Pictures","16","1429.7"
"105","Jan 2009","Paramount Pictures","97","5810.2"
"105","Jan 2009","Sony Pictures","49","3515.9"
"105","Jan 2009","New Line Cinema","83","4147.4"
"105","Jan 2009","Columbia Pictures","47","2748.2"
"105","Jan 2009","Buena Vista","35","3256.4"
"105","Jan 2009","Lionsgate Films","18","503.3344"
"106","Feb 2009","Warner Bros. Pictures","131","8523.4"
"106","Feb 2009","20th Century Fox","121","7602.9"
"106","Feb 2009","Universal Pictures","124","7913.2"
"106","Feb 2009","Walt Disney Pictures","16","1429.7"
"106","Feb 2009","Paramount Pictures","97","5810.2"
"106","Feb 2009","Sony Pictures","50","3551.8"
"106","Feb 2009","New Line Cinema","83","4147.4"
"106","Feb 2009","Columbia Pictures","47","2748.2"
"106","Feb 2009","Buena Vista","35","3256.4"
"106","Feb 2009","Lionsgate Films","18","503.3344"
"107","Mar 2009","Warner Bros. Pictures","132","8630.9"
"107","Mar 2009","20th Century Fox","123","7619.6"
"107","Mar 2009","Universal Pictures","125","7953.8"
"107","Mar 2009","Walt Disney Pictures","18","1496.9"
"107","Mar 2009","Paramount Pictures","97","5810.2"
"107","Mar 2009","Sony Pictures","50","3551.8"
"107","Mar 2009","New Line Cinema","83","4147.4"
"107","Mar 2009","Columbia Pictures","47","2748.2"
