"Country","Longitude","Latitude","Group","Order","Count"
"Afghanistan",74.8913116455078,37.2316398620605,2,12,1
"Afghanistan",74.8402328491211,37.2250518798828,2,13,1
"Afghanistan",74.7673797607422,37.2491722106934,2,14,1
"Afghanistan",74.7389602661133,37.28564453125,2,15,1
"Afghanistan",74.7266616821289,37.2907218933105,2,16,1
"Afghanistan",74.6689453125,37.2667007446289,2,17,1
"Afghanistan",74.5589904785156,37.2366218566895,2,18,1
"Afghanistan",74.3721694946289,37.15771484375,2,19,1
"Afghanistan",74.3761672973633,37.1373519897461,2,20,1
"Afghanistan",74.4979553222656,37.0572242736816,2,21,1
"Afghanistan",74.5264587402344,37.0306625366211,2,22,1
"Afghanistan",74.5414047241211,37.0221710205078,2,23,1
"Afghanistan",74.4310607910156,36.9836921691895,2,24,1
"Afghanistan",74.1947250366211,36.8968772888184,2,25,1
"Afghanistan",74.0388717651367,36.8257331848145,2,26,1
"Afghanistan",74.0018539428711,36.8230972290039,2,27,1
"Afghanistan",73.9078140258789,36.8529319763184,2,28,1
"Afghanistan",73.7691421508789,36.8884773254395,2,29,1
"Afghanistan",73.7318344116211,36.8877906799316,2,30,1
"Afghanistan",73.4111328125,36.8816909790039,2,31,1
"Afghanistan",73.1167984008789,36.8685569763184,2,32,1
"Afghanistan",72.9937438964844,36.8516120910645,2,33,1
"Afghanistan",72.7662124633789,36.8350105285645,2,34,1
"Afghanistan",72.6228561401367,36.82958984375,2,35,1
"Afghanistan",72.5313491821289,36.802001953125,2,36,1
"Afghanistan",72.43115234375,36.7658195495605,2,37,1
"Afghanistan",72.3269577026367,36.7423858642578,2,38,1
"Afghanistan",72.2498016357422,36.7347183227539,2,39,1
"Afghanistan",72.15673828125,36.7008819580078,2,40,1
"Afghanistan",72.0956039428711,36.6337394714355,2,41,1
"Afghanistan",71.9207000732422,36.5341796875,2,42,1
"Afghanistan",71.822265625,36.486083984375,2,43,1
"Afghanistan",71.7726593017578,36.4318351745605,2,44,1
"Afghanistan",71.7164077758789,36.4265632629395,2,45,1
"Afghanistan",71.6205062866211,36.4364738464355,2,46,1
"Afghanistan",71.5458984375,36.377685546875,2,47,1
"Afghanistan",71.4632797241211,36.2932624816895,2,48,1
"Afghanistan",71.3125991821289,36.1711883544922,2,49,1
"Afghanistan",71.23291015625,36.1217765808105,2,50,1
"Afghanistan",71.18505859375,36.0420875549316,2,51,1
"Afghanistan",71.22021484375,36.0006828308105,2,52,1
"Afghanistan",71.3428726196289,35.9385261535645,2,53,1
"Afghanistan",71.3975601196289,35.8801765441895,2,54,1
"Afghanistan",71.4275360107422,35.833740234375,2,55,1
"Afghanistan",71.4835891723633,35.714599609375,2,56,1
"Afghanistan",71.51904296875,35.5975074768066,2,57,1
"Afghanistan",71.5719757080078,35.5468254089355,2,58,1
"Afghanistan",71.58740234375,35.4608383178711,2,59,1
"Afghanistan",71.6005859375,35.4079093933105,2,60,1
"Afghanistan",71.5719757080078,35.3704109191895,2,61,1
"Afghanistan",71.5455093383789,35.3285140991211,2,62,1
"Afghanistan",71.5455093383789,35.2888641357422,2,63,1
"Afghanistan",71.5772476196289,35.2479972839355,2,64,1
"Afghanistan",71.6052703857422,35.2117652893066,2,65,1
"Afghanistan",71.6205062866211,35.1830062866211,2,66,1
"Afghanistan",71.6016616821289,35.1506843566895,2,67,1
"Afghanistan",71.5455093383789,35.1014137268066,2,68,1
"Afghanistan",71.51708984375,35.0511245727539,2,69,1
"Afghanistan",71.455078125,34.9669418334961,2,70,1
"Afghanistan",71.3581085205078,34.9096183776855,2,71,1
"Afghanistan",71.2941436767578,34.8677253723145,2,72,1
"Afghanistan",71.2257766723633,34.779541015625,2,73,1
"Afghanistan",71.11328125,34.6815948486328,2,74,1
"Afghanistan",71.0656280517578,34.599609375,2,75,1
"Afghanistan",71.0163116455078,34.5546379089355,2,76,1
"Afghanistan",70.9656219482422,34.5303688049316,2,77,1
"Afghanistan",70.9789123535156,34.4862823486328,2,78,1
"Afghanistan",71.02294921875,34.43115234375,2,79,1
"Afghanistan",71.095703125,34.3694343566895,2,80,1
"Afghanistan",71.0923843383789,34.2732429504395,2,81,1
"Afghanistan",71.0890579223633,34.2040557861328,2,82,1
"Afghanistan",71.09130859375,34.1202659606934,2,83,1
"Afghanistan",71.0515594482422,34.0497093200684,2,84,1
