Title,Year,Rating,Runtime,Genre,Critic.Score,Box.Office,Awards,International
Miss Congeniality,2000,PG-13,109,"Action, Comedy, Crime",42,105.5,TRUE,TRUE
The Family Man,2000,PG-13,125,"Comedy, Drama, Fantasy",53,73.7,TRUE,FALSE
You Can Count on Me,2000,R,111,Drama,95,8.4,TRUE,FALSE
Quills,2000,R,124,"Biography, Drama",75,4.3,TRUE,TRUE
All the Pretty Horses,2000,PG-13,116,"Drama, Romance, Western",32,14.7,TRUE,FALSE
Traffic,2000,R,147,"Crime, Drama, Thriller",92,123.8,TRUE,TRUE
State and Main,2000,R,105,"Comedy, Drama",86,5.8,TRUE,TRUE
"Crouching Tiger, Hidden Dragon",2000,PG-13,120,"Action, Drama, Romance",97,127.7,TRUE,TRUE
Finding Forrester,2000,PG-13,136,Drama,74,51.4,TRUE,FALSE
Thirteen Days,2000,PG-13,145,"Drama, History, Thriller",83,33.1,TRUE,FALSE
The Gift,2000,R,111,"Drama, Horror, Mystery",57,11.2,FALSE,FALSE
Chocolat,2000,PG-13,121,"Drama, Romance",63,71.3,TRUE,TRUE
Snatch.,2000,R,102,"Comedy, Crime",73,30.1,TRUE,TRUE
Shadow of the Vampire,2000,R,92,"Drama, Horror",81,7.5,TRUE,TRUE
"O Brother, Where Art Thou?",2000,PG-13,106,"Adventure, Comedy, Crime",77,45.2,TRUE,TRUE
Before Night Falls,2000,R,133,"Biography, Drama",73,2.8,TRUE,FALSE
An Everlasting Piece,2000,R,103,Comedy,48,0.0091,FALSE,FALSE
Pollock,2000,R,122,"Biography, Drama",81,7.3,TRUE,FALSE
Memento,2000,R,113,"Mystery, Thriller",92,23.8,TRUE,FALSE
The Golden Bowl,2000,R,130,"Drama, Romance",54,2.2,TRUE,TRUE
Songcatcher,2000,PG-13,109,"Drama, Music",74,1.6,TRUE,FALSE
The Endurance,2000,G,97,"Documentary, History",95,2.1,TRUE,TRUE
Tadpole,2000,PG-13,78,"Comedy, Drama, Romance",78,2.9,TRUE,FALSE
The Debut,2000,R,88,"Comedy, Drama",74,1.5,TRUE,FALSE
Double Take,2001,PG-13,88,"Action, Comedy, Crime",12,28.5,FALSE,FALSE
Antitrust,2001,PG-13,109,"Crime, Drama, Thriller",24,11,TRUE,FALSE
The Pledge,2001,R,124,"Crime, Drama, Mystery",78,18.9,TRUE,FALSE
"Scotland, Pa.",2001,R,104,"Comedy, Crime",59,0.2,FALSE,FALSE
Sugar & Spice,2001,PG-13,81,"Comedy, Crime",28,12.4,FALSE,FALSE
Head Over Heels,2001,PG-13,86,"Comedy, Mystery, Romance",10,9.9,FALSE,FALSE
Valentine,2001,R,96,"Horror, Thriller",8,19.8,TRUE,FALSE
Hannibal,2001,R,131,"Crime, Drama, Thriller",39,163.9,TRUE,TRUE
Saving Silverman,2001,PG-13,90,"Comedy, Crime, Romance",18,19,FALSE,TRUE
Recess: School's Out,2001,G,82,"Animation, Family, Comedy",61,34.8,FALSE,FALSE
Down to Earth,2001,PG-13,87,"Comedy, Fantasy",20,63.1,FALSE,TRUE
Sweet November,2001,PG-13,119,"Drama, Romance",16,24.4,FALSE,FALSE
Haunted Castle,2001,PG,38,"Animation, Short, Horror",25,12.4,FALSE,TRUE
Monkeybone,2001,PG-13,93,"Animation, Comedy, Fantasy",20,4.9,FALSE,FALSE
3000 Miles to Graceland,2001,R,125,"Action, Comedy, Crime",14,15.3,FALSE,FALSE
Carman: The Champion,2001,PG-13,82,"Action, Drama, Sport",11,1.3,FALSE,FALSE
See Spot Run,2001,PG,94,"Action, Comedy, Crime",23,32.5,FALSE,TRUE
The Mexican,2001,R,123,"Adventure, Comedy, Crime",56,66.6,TRUE,FALSE
Get Over It,2001,PG-13,87,"Comedy, Romance",44,11.3,FALSE,FALSE
15 Minutes,2001,R,120,"Action, Crime, Drama",33,24.2,FALSE,TRUE
Bartleby,2001,PG-13,83,"Comedy, Drama, Mystery",35,0.0603,FALSE,FALSE
Never Again,2001,R,98,"Comedy, Romance",31,0.2,FALSE,FALSE
Enemy at the Gates,2001,R,131,"Drama, History, Romance",54,50.5,FALSE,TRUE
Exit Wounds,2001,R,101,"Action, Comedy, Crime",32,51.4,FALSE,TRUE
Say It Isn't So,2001,R,95,"Comedy, Romance",9,4.8,FALSE,FALSE
Heartbreakers,2001,PG-13,123,"Comedy, Crime, Romance",53,39.9,FALSE,FALSE
The Brothers,2001,R,106,"Comedy, Drama",63,26.6,TRUE,FALSE
Spy Kids,2001,PG,88,"Action, Adventure, Comedy",93,110.8,TRUE,FALSE
Someone Like You...,2001,PG-13,97,"Comedy, Romance",43,26.7,FALSE,FALSE
Blow,2001,R,124,"Biography, Crime, Drama",55,52.8,TRUE,FALSE
Along Came a Spider,2001,R,104,Thriller,32,73.6,TRUE,TRUE
Joe Dirt,2001,PG-13,91,"Adventure, Comedy, Drama",11,27.1,FALSE,FALSE
Josie and the Pussycats,2001,PG-13,98,"Comedy, Music",53,14.1,FALSE,TRUE
Kingdom Come,2001,PG,94,"Comedy, Drama, Family",28,22.6,FALSE,FALSE
Crocodile Dundee in Los Angeles,2001,PG,92,"Adventure, Comedy",11,25.3,FALSE,TRUE
Freddy Got Fingered,2001,R,87,Comedy,11,13.7,TRUE,FALSE
The Forsaken,2001,R,90,"Horror, Thriller",7,6.3,FALSE,FALSE
Driven,2001,PG-13,116,"Action, Drama, Sport",14,32.4,TRUE,TRUE
Town & Country,2001,R,104,"Comedy, Romance",13,6.3,TRUE,FALSE
One Night at McCool's,2001,R,93,"Comedy, Crime",33,5.7,FALSE,FALSE
The Mummy Returns,2001,PG-13,130,"Action, Adventure, Fantasy",47,200.7,TRUE,FALSE
The Tailor of Panama,2001,R,109,"Drama, Thriller",77,13.1,FALSE,TRUE
A Knight's Tale,2001,PG-13,132,"Action, Adventure, Romance",58,55,TRUE,FALSE
Shrek,2001,PG,90,"Animation, Adventure, Comedy",88,267,TRUE,FALSE
Pearl Harbor,2001,PG-13,183,"Action, Drama, Romance",25,197.8,TRUE,FALSE
Moulin Rouge!,2001,PG-13,127,"Drama, Musical, Romance",76,55.1,TRUE,TRUE
The Animal,2001,PG-13,84,Comedy,30,54.4,FALSE,FALSE
What's the Worst That Could Happen?,2001,PG-13,94,"Comedy, Crime",10,31.1,FALSE,FALSE
Startup.com,2001,R,107,Documentary,92,0.5,TRUE,FALSE
Evolution,2001,PG-13,101,"Comedy, Sci-Fi",43,37.6,FALSE,FALSE
Swordfish,2001,R,99,"Action, Crime, Thriller",26,68.8,TRUE,TRUE
Atlantis: The Lost Empire,2001,PG,95,"Animation, Adventure, Family",49,83.6,TRUE,FALSE
Lara Croft: Tomb Raider,2001,PG-13,100,"Action, Adventure, Fantasy",19,129.5,TRUE,TRUE
Dr. Dolittle 2,2001,PG,87,"Comedy, Family, Fantasy",42,111.5,TRUE,FALSE
The Fast and the Furious,2001,PG-13,106,"Action, Crime, Thriller",53,142.5,TRUE,TRUE
Baby Boy,2001,R,130,"Comedy, Crime, Drama",71,27.8,TRUE,FALSE
Pootie Tang,2001,PG-13,81,"Comedy, Musical, Adventure",29,2.8,FALSE,FALSE
The Anniversary Party,2001,R,115,"Comedy, Drama, Romance",60,3,TRUE,FALSE
Crazy/Beautiful,2001,PG-13,99,"Drama, Romance",63,16.2,FALSE,FALSE
A.I. Artificial Intelligence,2001,PG-13,146,"Adventure, Drama, Sci-Fi",73,77.6,TRUE,FALSE
Cats & Dogs,2001,PG,87,"Action, Comedy, Family",54,90.9,TRUE,TRUE
Kiss of the Dragon,2001,R,98,"Action, Crime, Drama",51,34.7,FALSE,TRUE
Final Fantasy: The Spirits Within,2001,PG-13,106,"Animation, Action, Adventure",44,31.5,TRUE,TRUE
