Title,Year,Rating,Runtime,Genre,Critic.Score,Box.Office,Awards,International
Superbabies: Baby Geniuses 2,2004,PG,88,"Comedy, Family, Sci-Fi",0,9,FALSE,TRUE
Suspect Zero,2004,R,99,"Crime, Thriller",18,8.6,FALSE,TRUE
Vanity Fair,2004,PG-13,141,Drama,51,16.1,TRUE,TRUE
We Don't Live Here Anymore,2004,R,101,"Drama, Romance",65,1.9,TRUE,TRUE
Paparazzi,2004,PG-13,84,"Action, Crime, Thriller",18,15.6,FALSE,FALSE
The Cookout,2004,PG-13,97,Comedy,5,11.5,FALSE,FALSE
Wicker Park,2004,PG-13,114,"Drama, Mystery, Romance",25,12.8,FALSE,FALSE
Gunner Palace,2004,PG-13,85,"Documentary, War",85,0.0635,FALSE,FALSE
Resident Evil: Apocalypse,2004,R,94,"Action, Horror, Sci-Fi",21,50.7,TRUE,TRUE
Cellular,2004,PG-13,94,"Crime, Thriller",55,32,FALSE,TRUE
Mr 3000,2004,PG-13,104,"Comedy, Drama, Romance",54,21.8,TRUE,FALSE
Sky Captain and the World of Tomorrow,2004,PG,106,"Action, Adventure, Mystery",72,37.6,TRUE,TRUE
Wimbledon,2004,PG-13,98,"Comedy, Romance, Sport",60,16.8,FALSE,TRUE
First Daughter,2004,PG,106,"Comedy, Drama, Romance",8,9,FALSE,FALSE
Criminal,2004,R,87,"Comedy, Crime, Drama",69,0.7,FALSE,FALSE
The Forgotten,2004,PG-13,91,"Drama, Horror, Mystery",31,66.6,FALSE,FALSE
Shaun of the Dead,2004,R,99,"Comedy, Horror",92,13.5,TRUE,TRUE
Mean Creek,2004,R,90,"Crime, Drama",90,0.3,TRUE,FALSE
Shark Tale,2004,PG,90,"Animation, Adventure, Comedy",35,160.8,TRUE,FALSE
Going Upriver: The Long War of John Kerry,2004,PG-13,87,"Documentary, Biography, History",89,0.5,FALSE,FALSE
Taxi,2004,PG-13,97,"Action, Comedy, Crime",10,36.5,TRUE,TRUE
Friday Night Lights,2004,PG-13,118,"Action, Drama, Sport",81,60.6,TRUE,FALSE
Raise Your Voice,2004,PG,103,"Family, Music, Romance",15,10.4,TRUE,FALSE
A Home at the End of the World,2004,R,97,"Drama, Romance",49,0.9,TRUE,TRUE
Team America: World Police,2004,R,98,"Animation, Action, Comedy",77,32.7,TRUE,TRUE
Hair Show,2004,PG-13,105,"Comedy, Romance",17,0.2,FALSE,FALSE
Shall We Dance,2004,PG-13,106,"Comedy, Drama, Romance",46,57.8,FALSE,FALSE
The Final Cut,2004,PG-13,95,"Action, Sci-Fi, Thriller",37,0.5,TRUE,TRUE
The Motorcycle Diaries,2004,R,126,"Adventure, Biography, Drama",84,16.7,TRUE,TRUE
Woman Thou Art Loosed,2004,R,94,Drama,50,6.8,TRUE,FALSE
The Grudge,2004,PG-13,92,"Horror, Mystery, Thriller",39,110.2,TRUE,TRUE
I Heart Huckabees,2004,R,107,Comedy,62,12.7,TRUE,TRUE
Surviving Christmas,2004,PG-13,91,"Comedy, Romance",7,11.2,TRUE,FALSE
The Assassination of Richard Nixon,2004,R,95,"Biography, Drama",68,0.6,TRUE,TRUE
Ray,2004,PG-13,152,"Biography, Drama, Music",81,75.2,TRUE,FALSE
Saw,2004,R,103,"Horror, Mystery",48,0.7,TRUE,TRUE
Birth,2004,R,100,"Drama, Mystery, Romance",38,5,TRUE,TRUE
Thérèse: The Story of Saint Thérèse of Lisieux,2004,PG,96,"Biography, Drama",11,0.6,FALSE,FALSE
The Last Shot,2004,R,93,Comedy,61,0.4,FALSE,FALSE
Alfie,2004,R,103,"Comedy, Drama, Romance",49,13.4,TRUE,TRUE
Fade to Black,2004,R,109,Documentary,58,1,FALSE,FALSE
The Polar Express,2004,G,100,"Animation, Adventure, Family",55,0.5,TRUE,FALSE
After the Sunset,2004,PG-13,97,"Action, Comedy, Crime",18,28.3,FALSE,FALSE
Seed of Chucky,2004,R,87,"Comedy, Horror, Thriller",32,17,TRUE,TRUE
Bridget Jones: The Edge of Reason,2004,R,108,"Comedy, Drama, Romance",27,40.2,FALSE,TRUE
The SpongeBob SquarePants Movie,2004,PG,87,"Animation, Adventure, Comedy",68,85.4,TRUE,FALSE
National Treasure,2004,PG,131,"Action, Adventure, Mystery",44,173,TRUE,FALSE
Alexander,2004,R,175,"Action, Adventure, Biography",16,34.3,TRUE,TRUE
Christmas with the Kranks,2004,PG,99,"Comedy, Family",5,73.7,TRUE,FALSE
Eros,2004,R,104,"Drama, Romance",34,0.0537,TRUE,TRUE
The Machinist,2004,R,101,"Drama, Thriller",77,0.9,TRUE,TRUE
Blade: Trinity,2004,R,113,"Action, Adventure, Fantasy",26,52.4,FALSE,FALSE
Closer,2004,R,104,"Drama, Romance",68,34,TRUE,TRUE
Ocean's Twelve,2004,PG-13,125,"Crime, Thriller",55,125.4,TRUE,FALSE
Spanglish,2004,PG-13,131,"Comedy, Drama, Romance",53,42,TRUE,FALSE
Flight of the Phoenix,2004,PG-13,113,"Action, Adventure, Drama",30,20.9,FALSE,FALSE
Lemony Snicket's A Series of Unfortunate Events,2004,PG,108,"Adventure, Comedy, Family",72,118.5,TRUE,TRUE
The Phantom of the Opera,2004,PG-13,143,"Drama, Musical, Romance",32,51.2,TRUE,TRUE
Meet the Fockers,2004,PG-13,115,"Comedy, Romance",38,279.2,TRUE,FALSE
Fat Albert,2004,PG,93,"Comedy, Family, Fantasy",25,48,FALSE,FALSE
The Aviator,2004,PG-13,170,"Biography, Drama",87,102.6,TRUE,TRUE
Beyond the Sea,2004,PG-13,118,"Biography, Drama, Music",42,6.1,FALSE,TRUE
Kinsey,2004,R,118,"Biography, Drama",90,10.2,TRUE,TRUE
A Very Long Engagement,2004,R,133,"Drama, Mystery, Romance",78,6.2,TRUE,TRUE
Duck Season,2004,R,90,Comedy,90,0.1,TRUE,TRUE
In Good Company,2004,PG-13,109,"Comedy, Drama, Romance",83,45.5,TRUE,FALSE
Around the Bend,2004,R,85,"Comedy, Drama",28,0.1,TRUE,FALSE
The Work and the Glory,2004,PG,118,"Romance, Drama",17,3,FALSE,FALSE
A Love Song for Bobby Long,2004,R,119,Drama,43,0.1,FALSE,FALSE
Sideways,2004,R,126,"Comedy, Drama, Romance",96,71.4,TRUE,TRUE
Million Dollar Baby,2004,PG-13,132,"Drama, Sport",91,100.4,TRUE,FALSE
Riding the Bullet,2004,R,98,"Horror, Thriller",27,0.1,FALSE,TRUE
Hotel Rwanda,2004,PG-13,121,"Drama, History, War",90,23.5,TRUE,TRUE
P.S.,2004,R,97,"Comedy, Drama, Fantasy",55,0.1,TRUE,FALSE
Being Julia,2004,R,104,"Comedy, Drama, Romance",76,7.7,TRUE,TRUE
The Merchant of Venice,2004,R,138,"Drama, Romance",72,3.8,TRUE,TRUE
Eulogy,2004,R,91,"Comedy, Drama",32,0.0418,FALSE,TRUE
Bride & Prejudice,2004,PG-13,122,"Comedy, Drama, Musical",64,6.5,FALSE,TRUE
Born Into Brothels: Calcutta's Red Light Kids,2004,R,85,Documentary,96,3.4,TRUE,FALSE
Melinda and Melinda,2004,PG-13,99,"Comedy, Drama, Romance",53,3.7,FALSE,FALSE
House of D,2004,PG-13,97,"Comedy, Drama",10,0.4,FALSE,FALSE
Jiminy Glick in Lalawood,2004,R,90,"Comedy, Mystery",22,0.0257,FALSE,TRUE
Crash,2004,R,112,Drama,75,55.4,TRUE,TRUE
A Good Woman,2004,PG,93,"Drama, Comedy, Romance",37,0.0971,FALSE,TRUE
Primer,2004,PG-13,77,"Drama, Sci-Fi, Thriller",72,0.4,TRUE,FALSE
Saving Face,2004,R,91,"Comedy, Drama, Romance",87,1,TRUE,FALSE
Yes,2004,R,100,"Drama, Romance",52,0.2,TRUE,TRUE
My Date with Drew,2004,PG,90,Documentary,71,0.0852,TRUE,FALSE
Innocent Voices,2004,R,120,"Drama, War",71,0.2,TRUE,TRUE
Winter Solstice,2004,R,90,Drama,60,0.2,FALSE,FALSE
Paper Clips,2004,G,82,"Documentary, War",72,1,TRUE,FALSE
Haven,2004,R,115,"Crime, Drama",13,0.1,FALSE,TRUE
Romance & Cigarettes,2005,R,105,"Comedy, Musical, Romance",54,0.4,FALSE,FALSE
Why We Fight,2005,PG-13,98,"Documentary, History, War",78,1.9,TRUE,TRUE
The Dying Gaul,2005,R,101,Drama,49,0.3,TRUE,FALSE
The Salon,2005,PG-13,90,"Comedy, Drama",12,0.0924,FALSE,FALSE
White Noise,2005,PG-13,101,"Drama, Horror, Mystery",8,55.9,TRUE,TRUE
Coach Carter,2005,PG-13,136,"Drama, Sport",65,67.2,TRUE,TRUE
Racing Stripes,2005,PG,102,"Adventure, Comedy, Drama",35,49.2,FALSE,FALSE
Elektra,2005,PG-13,97,"Action, Crime, Fantasy",10,24.3,FALSE,TRUE
Assault on Precinct 13,2005,R,109,"Action, Crime, Drama",60,20,TRUE,TRUE
Are We There Yet?,2005,PG,95,"Adventure, Comedy, Family",11,82.3,TRUE,TRUE
Alone in the Dark,2005,R,96,"Action, Horror, Sci-Fi",1,5.1,FALSE,TRUE
Hide and Seek,2005,R,101,"Horror, Mystery, Thriller",13,51,TRUE,TRUE
Boogeyman,2005,PG-13,89,"Drama, Horror, Mystery",13,46.4,FALSE,TRUE
The Wedding Date,2005,PG-13,90,"Comedy, Romance",10,32,FALSE,FALSE
Pooh's Heffalump Movie,2005,G,68,"Animation, Family, Fantasy",79,18,FALSE,FALSE
Hitch,2005,PG-13,118,"Comedy, Romance",69,177.6,TRUE,FALSE
Constellation,2005,PG-13,96,Drama,0,0.2,TRUE,FALSE
Son of the Mask,2005,PG,94,"Adventure, Comedy, Family",6,17,TRUE,TRUE
Constantine,2005,R,121,"Drama, Fantasy, Horror",46,75.5,TRUE,TRUE
Because of Winn-Dixie,2005,PG,106,"Comedy, Drama, Family",54,32.6,FALSE,FALSE
Man of the House,2005,PG-13,100,"Action, Comedy",9,19.1,FALSE,FALSE
Diary of a Mad Black Woman,2005,PG-13,116,"Comedy, Drama, Romance",16,50.4,TRUE,FALSE
Be Cool,2005,PG-13,118,"Comedy, Crime, Music",30,55.6,TRUE,FALSE
The Jacket,2005,R,103,"Drama, Horror, Mystery",44,6.3,TRUE,TRUE
The Pacifier,2005,PG,95,"Action, Comedy, Drama",20,113,TRUE,TRUE
Robots,2005,PG,91,"Animation, Adventure, Comedy",64,128.1,TRUE,FALSE
Hostage,2005,R,113,"Crime, Drama, Mystery",35,34.6,FALSE,TRUE
Ice Princess,2005,G,98,"Comedy, Drama, Family",52,24.4,FALSE,TRUE
The Ring Two,2005,PG-13,110,"Horror, Mystery, Thriller",20,75.9,TRUE,FALSE
Miss Congeniality 2: Armed and Fabulous,2005,PG-13,115,"Action, Comedy, Crime",15,48.4,TRUE,TRUE
Guess Who,2005,PG-13,105,"Comedy, Romance",43,68,FALSE,FALSE
Beauty Shop,2005,PG-13,105,Comedy,37,36.3,FALSE,FALSE
The Upside of Anger,2005,R,118,"Comedy, Drama",74,18.7,TRUE,TRUE
Fever Pitch,2005,PG-13,104,"Comedy, Drama, Romance",65,42,FALSE,TRUE
Sahara,2005,PG-13,124,"Action, Adventure, Comedy",39,68.6,TRUE,TRUE
The Ballad of Jack and Rose,2005,R,112,Drama,47,0.6,TRUE,FALSE
State Property 2,2005,R,94,"Musical, Action, Crime",14,1.7,TRUE,FALSE
The Amityville Horror,2005,R,90,"Drama, Horror, Mystery",23,64.3,TRUE,FALSE
Down and Derby,2005,PG,90,"Comedy, Family",22,0.0439,FALSE,FALSE
The Interpreter,2005,PG-13,128,"Mystery, Thriller",56,72.5,TRUE,TRUE
A Lot Like Love,2005,PG-13,107,"Comedy, Drama, Romance",41,21.8,TRUE,FALSE
The Great New Wonderful,2005,R,87,"Comedy, Drama, Romance",73,0.0397,FALSE,FALSE
Dust to Glory,2005,PG,97,"Documentary, Action, Adventure",60,0.6,FALSE,FALSE
Madison,2005,PG,99,"Drama, Sport",29,0.5,FALSE,FALSE
King's Ransom,2005,PG-13,95,"Comedy, Crime",2,4,FALSE,TRUE
The Game of Their Lives,2005,PG,101,"Drama, History, Sport",26,0.4,FALSE,FALSE
Factotum,2005,R,94,"Comedy, Drama, Romance",76,0.6,TRUE,TRUE
xXx: State of the Union,2005,PG-13,101,"Action, Adventure, Crime",16,26.1,FALSE,FALSE
House of Wax,2005,R,113,"Horror, Thriller",25,32,TRUE,TRUE
Kingdom of Heaven,2005,R,144,"Action, Adventure, Drama",39,47.3,TRUE,TRUE
Last Days,2005,R,97,"Biography, Drama, Music",57,0.4,TRUE,FALSE
Kicking & Screaming,2005,PG,95,"Comedy, Family, Romance",41,52.6,TRUE,FALSE
Unleashed,2005,R,103,"Action, Crime, Drama",65,24.4,FALSE,TRUE
Monster-in-Law,2005,PG-13,101,Comedy,16,82.8,TRUE,TRUE
Star Wars: Episode III - Revenge of the Sith,2005,PG-13,140,"Action, Adventure, Fantasy",80,380.2,TRUE,FALSE
Dominion: Prequel to the Exorcist,2005,R,117,"Drama, Horror, Thriller",30,0.2,FALSE,FALSE
Duma,2005,PG,100,"Adventure, Drama, Family",93,0.8,TRUE,FALSE
Madagascar,2005,PG,86,"Animation, Adventure, Comedy",55,193.1,TRUE,FALSE
The Longest Yard,2005,PG-13,113,"Comedy, Crime, Sport",31,158,TRUE,FALSE
The Sisterhood of the Traveling Pants,2005,PG,119,"Comedy, Drama",77,43.5,TRUE,TRUE
Cinderella Man,2005,PG-13,144,"Biography, Drama, Sport",80,61.6,TRUE,FALSE
Lords of Dogtown,2005,PG-13,107,"Biography, Drama, Sport",55,11,TRUE,TRUE
Mr. & Mrs. Smith,2005,PG-13,120,"Action, Comedy, Crime",59,186.1,TRUE,FALSE
The Honeymooners,2005,PG-13,90,"Comedy, Drama, Family",14,12.8,FALSE,TRUE
Batman Begins,2005,PG-13,140,"Action, Adventure",85,205.2,TRUE,TRUE
The Perfect Man,2005,PG,100,"Comedy, Family, Romance",6,16.2,TRUE,FALSE
Herbie Fully Loaded,2005,G,101,"Adventure, Comedy, Family",41,65.9,TRUE,FALSE
Land of the Dead,2005,R,93,Horror,74,20.4,TRUE,TRUE
Bewitched,2005,PG-13,102,"Comedy, Fantasy, Romance",25,62.3,TRUE,FALSE
Rize,2005,PG-13,86,"Documentary, Music",83,3.3,TRUE,TRUE
War of the Worlds,2005,PG-13,116,"Adventure, Sci-Fi, Thriller",74,234.1,TRUE,FALSE
Rebound,2005,PG,103,"Comedy, Family, Sport",13,16.7,FALSE,FALSE
Mad Hot Ballroom,2005,PG,105,"Documentary, Family, Music",84,7.9,TRUE,FALSE
Fantastic Four,2005,PG-13,106,"Action, Adventure, Sci-Fi",26,154.5,TRUE,TRUE
Dark Water,2005,PG-13,105,"Drama, Horror, Thriller",46,25.4,FALSE,FALSE
Heights,2005,R,93,Drama,64,1,TRUE,FALSE
Wedding Crashers,2005,R,119,"Comedy, Romance",75,209.2,TRUE,FALSE
Charlie and the Chocolate Factory,2005,PG,115,"Adventure, Comedy, Family",83,206.4,TRUE,TRUE
Hustle & Flow,2005,R,116,"Crime, Drama, Music",82,22.1,TRUE,FALSE
The Devil's Rejects,2005,R,107,"Crime, Drama, Horror",53,16.9,TRUE,TRUE
March of the Penguins,2005,G,80,Documentary,94,77.4,TRUE,TRUE
The Island,2005,PG-13,136,"Action, Adventure, Sci-Fi",40,35.8,TRUE,FALSE
Must Love Dogs,2005,PG-13,98,"Comedy, Romance",35,43.8,FALSE,FALSE
Sky High,2005,PG,100,"Adventure, Comedy, Family",73,63.9,FALSE,FALSE
Happy Endings,2005,R,128,"Comedy, Drama, Music",54,1.2,FALSE,FALSE
Stealth,2005,PG-13,121,"Action, Adventure, Sci-Fi",13,31.7,FALSE,FALSE
The Wendell Baker Story,2005,PG-13,99,"Comedy, Drama, Romance",40,0.0481,TRUE,TRUE
Me and You and Everyone We Know,2005,R,91,"Comedy, Drama",81,3.7,TRUE,TRUE
The Dukes of Hazzard,2005,PG-13,104,"Action, Adventure, Comedy",13,80.2,TRUE,TRUE
Murderball,2005,R,88,"Documentary, Sport",98,1.3,TRUE,FALSE
Deuce Bigalow: European Gigolo,2005,R,83,Comedy,9,22.3,TRUE,FALSE
The Skeleton Key,2005,PG-13,104,"Horror, Mystery, Thriller",38,47.7,FALSE,TRUE
The Great Raid,2005,R,132,"Action, Drama, War",37,10.1,FALSE,TRUE
Supercross,2005,PG-13,80,"Action, Drama, Romance",6,3,FALSE,FALSE
Red Eye,2005,PG-13,85,"Mystery, Thriller",79,57.9,TRUE,FALSE
The 40-Year-Old Virgin,2005,R,116,"Comedy, Romance",85,109.2,TRUE,FALSE
Valiant,2005,G,76,"Animation, Adventure, Comedy",31,19.4,FALSE,TRUE
Don't Come Knocking,2005,R,122,"Drama, Music",42,0.3,TRUE,TRUE
Aliens of the Deep,2005,G,100,"Documentary, Family",84,8.3,FALSE,FALSE
Broken Flowers,2005,R,106,"Comedy, Drama, Mystery",88,13.6,TRUE,TRUE
Undiscovered,2005,PG-13,97,"Comedy, Music, Romance",8,1,FALSE,TRUE
The Cave,2005,PG-13,97,"Adventure, Horror, Thriller",11,14.9,FALSE,TRUE
The Constant Gardener,2005,R,129,"Drama, Mystery, Romance",84,33.6,TRUE,TRUE
Underclassman,2005,PG-13,95,"Action, Comedy, Crime",6,5.6,FALSE,FALSE
Grizzly Man,2005,R,103,"Documentary, Biography",93,2.9,TRUE,FALSE
A Sound of Thunder,2005,PG-13,101,"Action, Adventure, Horror",6,1.7,FALSE,TRUE
Nine Lives,2005,R,115,Drama,75,0.1,TRUE,FALSE
The Man,2005,PG-13,83,"Action, Comedy, Crime",11,8.3,FALSE,TRUE
Mobsters and Mormons,2005,PG,90,Comedy,75,0.0679,FALSE,FALSE
Green Street Hooligans,2005,R,109,"Crime, Drama, Sport",47,0.1,TRUE,TRUE
Cry_Wolf,2005,PG-13,90,"Drama, Horror, Mystery",22,10,FALSE,FALSE
Lord of War,2005,R,122,"Crime, Drama, Thriller",61,24,TRUE,TRUE
An Unfinished Life,2005,PG-13,108,Drama,53,8.5,TRUE,TRUE
Just Like Heaven,2005,PG-13,95,"Comedy, Fantasy, Romance",56,48.3,TRUE,FALSE
Junebug,2005,R,106,"Comedy, Drama",86,2.4,TRUE,FALSE
Venom,2005,R,85,Horror,11,0.8,FALSE,FALSE
Corpse Bride,2005,PG,77,"Animation, Fantasy, Musical",83,53.3,TRUE,TRUE
Flightplan,2005,PG-13,98,"Action, Drama, Mystery",38,89.6,TRUE,FALSE
The Thing About My Folks,2005,PG-13,96,"Comedy, Drama",45,0.7,TRUE,FALSE
Into the Blue,2005,PG-13,110,"Action, Adventure, Crime",21,18.5,TRUE,FALSE
The Greatest Game Ever Played,2005,PG,120,"Drama, History, Sport",63,15.3,FALSE,TRUE
Serenity,2005,PG-13,119,"Action, Adventure, Sci-Fi",82,25.3,TRUE,FALSE
A History of Violence,2005,R,96,"Crime, Drama, Thriller",87,31.4,TRUE,TRUE
The Curse of the Were-Rabbit,2005,G,85,"Animation, Comedy, Family",95,56.1,TRUE,TRUE
Waiting...,2005,R,94,Comedy,31,16.1,FALSE,FALSE
In Her Shoes,2005,PG-13,130,"Comedy, Drama, Romance",75,32.8,TRUE,TRUE
Proof,2005,PG-13,100,"Drama, Mystery",62,7.5,TRUE,FALSE
Thumbsucker,2005,R,96,"Comedy, Drama",71,1.1,TRUE,FALSE
Two for the Money,2005,R,122,"Drama, Sport, Thriller",22,22.9,FALSE,FALSE
The Gospel,2005,PG,105,"Drama, Music",32,15.8,FALSE,FALSE
Elizabethtown,2005,PG-13,123,"Comedy, Drama, Romance",28,26.8,TRUE,FALSE
Everything Is Illuminated,2005,PG-13,106,"Comedy, Drama",66,1.6,TRUE,FALSE
The Fog,2005,PG-13,100,Horror,4,29.5,TRUE,FALSE
North Country,2005,R,126,Drama,68,18.3,TRUE,FALSE
The Work and the Glory II: American Zion,2005,PG-13,100,"Drama, Western",45,1.9,FALSE,FALSE
Dreamer: Inspired by a True Story,2005,PG,106,"Drama, Family, Sport",64,33,TRUE,FALSE
El vacilón: The Movie,2005,R,90,Comedy,0,1.7,FALSE,TRUE
Stay,2005,R,99,"Drama, Mystery, Thriller",27,3.3,FALSE,FALSE
Doom,2005,R,105,"Action, Horror, Sci-Fi",19,28,FALSE,TRUE
Saw II,2005,R,93,"Horror, Mystery",36,87,TRUE,TRUE
The Weather Man,2005,R,102,"Comedy, Drama",58,12.5,FALSE,TRUE
Prime,2005,PG-13,105,"Comedy, Drama, Romance",50,22.7,FALSE,FALSE
The Legend of Zorro,2005,PG,129,"Action, Adventure, Western",26,45.4,TRUE,FALSE
Jarhead,2005,R,125,"Drama, War",61,62.6,TRUE,TRUE
"Good Night, and Good Luck.",2005,PG,93,Drama,93,31.5,TRUE,TRUE
Shopgirl,2005,R,106,"Drama, Romance",61,10.1,TRUE,FALSE
Chicken Little,2005,G,81,"Animation, Adventure, Comedy",36,135.3,TRUE,FALSE
Get Rich or Die Tryin',2005,R,117,"Biography, Crime, Drama",16,30.9,TRUE,TRUE
Derailed,2005,R,108,"Drama, Thriller",20,35.9,FALSE,TRUE
Zathura: A Space Adventure,2005,PG,101,"Action, Adventure, Comedy",75,28,TRUE,FALSE
Harry Potter and the Goblet of Fire,2005,PG-13,157,"Adventure, Family, Fantasy",88,290,TRUE,TRUE
Walk the Line,2005,PG-13,136,"Biography, Drama, Music",82,119.3,TRUE,TRUE
Kiss Kiss Bang Bang,2005,R,103,"Action, Comedy, Crime",85,4.2,TRUE,FALSE
Bee Season,2005,PG-13,104,Drama,43,1.1,FALSE,TRUE
Just Friends,2005,PG-13,96,"Comedy, Romance",41,32.6,FALSE,TRUE
Rent,2005,PG-13,135,"Drama, Musical, Romance",46,29.1,TRUE,FALSE
Pride & Prejudice,2005,PG,129,"Drama, Romance",85,38.3,TRUE,TRUE
In the Mix,2005,PG-13,95,"Comedy, Crime, Drama",14,10.1,FALSE,FALSE
"Yours, Mine & Ours",2005,PG,90,"Comedy, Family, Fantasy",6,53.4,FALSE,FALSE
First Descent,2005,PG-13,110,"Documentary, Sport",52,0.7,FALSE,FALSE
Æon Flux,2005,PG-13,93,"Action, Mystery, Sci-Fi",10,25.9,FALSE,FALSE
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,143,"Adventure, Family, Fantasy",76,291.7,TRUE,TRUE
Syriana,2005,R,128,"Drama, Thriller",72,50.8,TRUE,TRUE
Down in the Valley,2005,R,114,"Drama, Romance, Thriller",52,0.4,TRUE,FALSE
King Kong,2005,PG-13,187,"Action, Adventure, Drama",84,218.1,TRUE,TRUE
The Squid and the Whale,2005,R,81,"Comedy, Drama",93,7.1,TRUE,FALSE
The Family Stone,2005,PG-13,103,"Comedy, Drama, Romance",51,59.9,TRUE,FALSE
Cheaper by the Dozen 2,2005,PG,94,"Adventure, Comedy, Family",6,82.5,TRUE,TRUE
Fun with Dick and Jane,2005,PG-13,90,"Comedy, Crime",29,110.3,FALSE,FALSE
The Ringer,2005,PG-13,94,"Comedy, Sport",40,35,FALSE,FALSE
Memoirs of a Geisha,2005,PG-13,145,"Drama, Romance",35,57,TRUE,FALSE
Rumor Has It...,2005,PG-13,97,"Comedy, Drama, Romance",20,42.7,FALSE,TRUE
The Producers,2005,PG-13,134,"Comedy, Musical",51,19.2,TRUE,FALSE
Little Manhattan,2005,PG,90,"Comedy, Family, Romance",77,0.4,FALSE,FALSE
BloodRayne,2005,R,95,"Action, Adventure, Fantasy",4,1.6,FALSE,TRUE
Hostel,2005,R,94,Horror,61,47.3,TRUE,FALSE
Munich,2005,R,164,"Drama, History, Thriller",78,47.4,TRUE,TRUE
Casanova,2005,R,112,"Adventure, Comedy, Drama",44,11.2,TRUE,FALSE
Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005,PG-13,103,"Comedy, Drama, Musical",22,0.2,FALSE,FALSE
Brokeback Mountain,2005,R,134,"Drama, Romance",87,83,TRUE,TRUE
Hoodwinked!,2005,PG,80,"Animation, Comedy, Family",46,50.8,FALSE,FALSE
Looking for Comedy in the Muslim World,2005,PG-13,98,Comedy,42,0.8,FALSE,FALSE
Match Point,2005,R,124,"Drama, Romance, Thriller",76,23.1,TRUE,TRUE
The New World,2005,PG-13,135,"Biography, Drama, History",62,12.5,TRUE,TRUE
End of the Spear,2005,PG-13,108,"Adventure, Drama",40,11.7,TRUE,FALSE
The Matador,2005,R,96,"Comedy, Crime, Drama",74,12.4,TRUE,TRUE
Nanny McPhee,2005,PG,97,"Comedy, Family, Fantasy",73,47.1,TRUE,TRUE
Capote,2005,R,114,"Biography, Crime, Drama",90,28.3,TRUE,TRUE
Mrs Henderson Presents,2005,R,103,"Comedy, Drama, Music",67,11,TRUE,TRUE
The Three Burials of Melquiades Estrada,2005,R,121,"Adventure, Crime, Drama",85,4.9,TRUE,TRUE
Mirrormask,2005,PG,101,"Adventure, Drama, Family",54,0.8,TRUE,TRUE
Transamerica,2005,R,103,"Adventure, Comedy, Drama",76,8.7,TRUE,FALSE
Block Party,2005,R,103,"Documentary, Comedy, Music",92,11.7,TRUE,FALSE
V for Vendetta,2005,R,132,"Action, Drama, Thriller",73,70.5,TRUE,TRUE
The World's Fastest Indian,2005,PG-13,127,"Biography, Drama, Sport",82,5,TRUE,TRUE
The White Countess,2005,PG-13,135,"Drama, History, Romance",50,1.6,FALSE,TRUE
Wassup Rockers,2005,R,111,"Comedy, Drama",36,0.1,FALSE,FALSE
When Do We Eat?,2005,R,86,Comedy,42,0.4,TRUE,FALSE
Thank You for Smoking,2005,R,92,"Comedy, Drama",86,24.6,TRUE,FALSE
Preaching to the Choir,2005,PG-13,103,"Comedy, Drama, Musical",36,0.3,TRUE,FALSE
Brick,2005,R,110,"Crime, Drama, Mystery",80,2,TRUE,FALSE
La mujer de mi hermano,2005,R,89,Drama,20,2.8,FALSE,TRUE
Hard Candy,2005,R,104,"Crime, Drama, Thriller",68,1,TRUE,FALSE
An American Haunting,2005,PG-13,83,"Horror, Mystery, Thriller",12,16.2,FALSE,TRUE
The Notorious Bettie Page,2005,R,91,"Biography, Drama",56,1.4,FALSE,FALSE
The Promise,2005,PG-13,121,"Action, Drama, Fantasy",31,0.6,TRUE,TRUE
Goal! The Dream Begins,2005,PG-13,118,"Drama, Romance, Sport",44,4.2,TRUE,TRUE
Pretty Persuasion,2005,R,104,"Comedy, Drama",32,0.0586,TRUE,FALSE
The Lost City,2005,R,144,Drama,25,2.4,TRUE,FALSE
Kinky Boots,2005,PG-13,107,"Comedy, Drama, Music",57,1.7,TRUE,TRUE
The Heart of the Game,2005,PG-13,97,"Documentary, Sport",86,0.4,FALSE,FALSE
Shadowboxer,2005,R,93,"Action, Crime, Drama",18,0.3,TRUE,FALSE
Strangers with Candy,2005,R,97,Comedy,52,1.9,FALSE,FALSE
Leonard Cohen: I'm Your Man,2005,PG-13,105,"Documentary, Biography, Music",69,0.8,TRUE,FALSE
The Quiet,2005,R,96,"Drama, Thriller",21,0.3,TRUE,FALSE
Boynton Beach Club,2005,R,105,"Comedy, Romance",60,3,FALSE,FALSE
Trust the Man,2005,R,103,"Comedy, Drama, Romance",27,1.5,FALSE,FALSE
Lassie,2005,PG,100,"Adventure, Comedy, Drama",93,0.5,TRUE,TRUE
The Protector,2005,R,81,"Action, Crime, Drama",54,11.9,FALSE,TRUE
Harsh Times,2005,R,116,"Action, Crime, Drama",48,3.3,FALSE,FALSE
Slow Burn,2005,R,93,"Drama, Mystery, Thriller",12,1.2,FALSE,FALSE
Adam & Steve,2005,R,99,"Comedy, Drama, Music",55,0.2,FALSE,FALSE
"The Prize Winner of Defiance, Ohio",2005,PG-13,99,"Biography, Drama",57,0.4,TRUE,FALSE
